matrix_name,num_threads,csr_m,csr_n,csr_nnz,time,error,num_iterations,csr_mem_footprint,W_avg,J_estimated,format_name,m,n,nnz,mem_footprint,mem_ratio
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,133.155878,21547.8,20974,358.570686,0.000000,0.000000,MKL_IE,952203,952203,46522475,358.570686,1.000000
/home/users/dgal/Data/graphs/tamu/matrices/dielFilterV2real/dielFilterV2real.mtx,16,1157456,1157456,48538952,677.172036,-nan,100000,374.738163,0.000000,0.000000,MKL_IE,1157456,1157456,48538952,374.738163,1.000000
/home/users/dgal/Data/graphs/tamu/matrices/boneS10/boneS10.mtx,16,914898,914898,55468422,651.519259,4.44914e+08,100000,426.680538,0.000000,0.000000,MKL_IE,914898,914898,55468422,426.680538,1.000000
/home/users/dgal/Data/graphs/tamu/matrices/Hook_1498/Hook_1498.mtx,16,1498023,1498023,60917445,115.646409,96141.2,13299,470.477730,0.000000,0.000000,MKL_IE,1498023,1498023,60917445,470.477730,1.000000
/home/users/dgal/Data/graphs/tamu/matrices/Geo_1438/Geo_1438.mtx,16,1437960,1437960,63156690,24.812037,457.859,2689,487.332691,0.000000,0.000000,MKL_IE,1437960,1437960,63156690,487.332691,1.000000
/home/users/dgal/Data/graphs/tamu/matrices/Serena/Serena.mtx,16,1391349,1391349,64531701,17.028386,27.3051,1868,497.645386,0.000000,0.000000,MKL_IE,1391349,1391349,64531701,497.645386,1.000000
/home/users/dgal/Data/graphs/tamu/matrices/bone010/bone010.mtx,16,986703,986703,71666325,605.210217,9.60117e+08,83894,550.534645,0.000000,0.000000,MKL_IE,986703,986703,71666325,550.534645,1.000000
/home/users/dgal/Data/graphs/tamu/matrices/audikw_1/audikw_1.mtx,16,943695,943695,77651847,332.648818,9.84758e+08,33405,596.036491,0.000000,0.000000,MKL_IE,943695,943695,77651847,596.036491,1.000000
/home/users/dgal/Data/graphs/tamu/matrices/dielFilterV3real/dielFilterV3real.mtx,16,1102824,1102824,89306020,1139.467903,nan,100000,685.557804,0.000000,0.000000,MKL_IE,1102824,1102824,89306020,685.557804,1.000000
/home/users/dgal/Data/graphs/tamu/matrices/Flan_1565/Flan_1565.mtx,16,1564794,1564794,117406044,475.110542,3.30126e+07,34352,901.706249,0.000000,0.000000,MKL_IE,1564794,1564794,117406044,901.706249,1.000000
/home/users/dgal/Data/graphs/tamu/matrices/Cube_Coup_dt0/Cube_Coup_dt0.mtx,16,2164760,2164760,127206144,1811.046796,-nan,100000,978.763767,0.000000,0.000000,MKL_IE,2164760,2164760,127206144,978.763767,1.000000
/home/users/dgal/Data/graphs/tamu/matrices/Cube_Coup_dt6/Cube_Coup_dt6.mtx,16,2164760,2164760,127206144,1812.475610,-nan,100000,978.763767,0.000000,0.000000,MKL_IE,2164760,2164760,127206144,978.763767,1.000000
/home/users/dgal/Data/graphs/tamu/matrices/Bump_2911/Bump_2911.mtx,16,2911419,2911419,127729899,296.605875,221264,15240,985.607979,0.000000,0.000000,MKL_IE,2911419,2911419,127729899,985.607979,1.000000
/home/users/dgal/Data/graphs/tamu/matrices/Queen_4147/Queen_4147.mtx,16,4147110,4147110,329499284,1480.146104,2.32829e+06,36260,2529.700008,0.000000,0.000000,MKL_IE,4147110,4147110,329499284,2529.700008,1.000000
