matrix_name,num_threads,csr_m,csr_n,csr_nnz,time,gflops,csr_mem_footprint,W_avg,J_estimated,format_name,m,n,nnz,mem_footprint,mem_ratio,spmv_mae,spmv_max_ae,spmv_mse,spmv_mape,spmv_smape,spmv_lnQ_error,spmv_mlare,spmv_gmare
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,1.104798,10.697914,528.391174,0.000000,0.000000,CSR5,10203,321696,46168124,0.000000,0.000000,1.71752e-16,1.66533e-15,6.24914e-32,2.11919e-14,1.05959e-14,2.51444e-17,-16.2373,5.78964e-17
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,1.102567,10.801842,536.039845,0.000000,0.000000,CSR5,952203,952203,46522475,0.000000,0.000000,1.19722e-10,2.98023e-08,3.1203e-19,8.83237e-12,4.41619e-12,-5.28523e-15,-13.9147,1.21697e-14
/home/users/dgal/Data/graphs/tamu/matrices/dielFilterV2real/dielFilterV2real.mtx,16,1157456,1157456,48538952,1.160536,10.707094,559.899570,0.000000,0.000000,CSR5,1157456,1157456,48538952,0.000000,0.000000,2.81652e-16,2.13163e-14,6.38735e-31,1.00342e-12,5.01711e-13,6.76118e-16,-14.8078,1.55681e-15
/home/users/dgal/Data/graphs/tamu/matrices/nv2/nv2.mtx,16,1453908,1453908,52728362,1.690791,7.983521,608.974438,0.000000,0.000000,CSR5,1453908,1453908,52728362,0.000000,0.000000,11.8568,53248.1,96809.2,0.014618,0.00616963,-0.000486069,-2.95133,0.00111859
/home/users/dgal/Data/graphs/tamu/matrices/af_shell10/af_shell10.mtx,16,1508065,1508065,52672325,1.270527,10.613005,608.539738,0.000000,0.000000,CSR5,1508065,1508065,52672325,0.000000,0.000000,2.27663e-11,3.90969e-10,1.33937e-21,0.00157615,0.000255397,-8.51581e-07,-5.70756,1.96084e-06
/home/users/dgal/Data/graphs/tamu/matrices/boneS10/boneS10.mtx,16,914898,914898,55468422,1.316374,10.787141,638.275776,0.000000,0.000000,CSR5,914898,914898,55468422,0.000000,0.000000,1.39099e-12,1.16103e-11,4.15764e-24,3.53788e-07,1.76894e-07,6.20455e-10,-8.84507,1.42865e-09
/home/users/dgal/Data/graphs/tamu/matrices/circuit5M/circuit5M.mtx,16,5558326,5558326,59524291,1.867164,8.161157,702.404785,0.000000,0.000000,CSR5,5558326,5558326,59524291,0.000000,0.000000,1.04021e-17,2.6814e-13,1.57974e-31,1.82263,0.359668,0.00256509,-2.2274,0.00592381
/home/users/dgal/Data/graphs/tamu/matrices/Hook_1498/Hook_1498.mtx,16,1498023,1498023,60917445,1.486449,10.491357,702.859341,0.000000,0.000000,CSR5,1498023,1498023,60917445,0.000000,0.000000,3.33618e-12,5.70477e-11,2.12119e-23,5.72998,0.0764083,-0.00022492,-3.28587,0.000517764
/home/users/dgal/Data/graphs/tamu/matrices/Geo_1438/Geo_1438.mtx,16,1437960,1437960,63156690,1.523303,10.613853,728.256344,0.000000,0.000000,CSR5,1437960,1437960,63156690,0.000000,0.000000,6.1255e-06,0.00097701,2.77327e-10,3.80053e+08,0.189678,-0.000207096,-3.32172,0.000476743
/home/users/dgal/Data/graphs/tamu/matrices/Serena/Serena.mtx,16,1391349,1391349,64531701,1.557464,10.607061,743.814289,0.000000,0.000000,CSR5,1391349,1391349,64531701,0.000000,0.000000,4.90389e-06,0.00390625,2.20567e-10,3.08691e+06,0.000702141,1.8031e-06,-5.38176,4.1518e-06
