matrix_name,num_threads,csr_m,csr_n,csr_nnz,time,gflops,csr_mem_footprint,W_avg,J_estimated,format_name,m,n,nnz,mem_footprint,mem_ratio,spmv_mae,spmv_max_ae,spmv_mse,spmv_mape,spmv_smape,spmv_lnQ_error,spmv_mlare,spmv_gmare,CSRCV_NUM_PACKET_VALS,time_io_frac_avg,time_decompress_frac_avg,time_execute_frac_avg
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,3.118206,3.790333,528.391174,0.000000,0.000000,CSR_CV_BLOCK_FPC,10203,321696,46168124,314.202596,0.594640,1.69306e-16,1.55431e-15,6.15009e-32,2.09483e-14,1.04741e-14,2.41291e-17,-16.2556,5.55112e-17,64,0.1676,0.6628,0.1696
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,2.694271,4.386730,528.391174,0.000000,0.000000,CSR_CV_BLOCK_FPC,10203,321696,46168124,309.104085,0.584991,2.78963e-16,9.99201e-16,1.06033e-31,3.57534e-14,1.78767e-14,1.54026e-16,-15.4502,3.54643e-16,128,0.1719,0.6765,0.1516
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,2.542399,4.648775,528.391174,0.000000,0.000000,CSR_CV_BLOCK_FPC,10203,321696,46168124,305.295728,0.577784,3.62472e-16,1.33227e-15,1.63675e-31,4.61698e-14,2.30849e-14,-1.99658e-16,-15.3375,4.59756e-16,256,0.1754,0.6779,0.1466
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,2.407143,4.909987,528.391174,0.000000,0.000000,CSR_CV_BLOCK_FPC,10203,321696,46168124,301.391906,0.570395,1.26382e-15,2.44249e-15,1.79446e-30,1.60351e-13,8.01753e-14,-6.95581e-16,-14.7954,1.60164e-15,512,0.1728,0.6825,0.1446
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,2.405398,4.913549,528.391174,0.000000,0.000000,CSR_CV_BLOCK_FPC,10203,321696,46168124,298.299949,0.564544,9.38182e-16,3.55271e-15,1.10345e-30,1.15527e-13,5.77635e-14,4.69666e-16,-14.966,1.08149e-15,1024,0.1688,0.6878,0.1434
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,2.327828,5.077281,528.391174,0.000000,0.000000,CSR_CV_BLOCK_FPC,10203,321696,46168124,295.231536,0.558737,4.14497e-15,7.99361e-15,2.00811e-29,5.06997e-13,2.53499e-13,2.18548e-15,-14.2982,5.03222e-15,2048,0.1681,0.6874,0.1445
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,2.312486,5.110967,528.391174,0.000000,0.000000,CSR_CV_BLOCK_FPC,10203,321696,46168124,292.944626,0.554409,3.44908e-15,1.25455e-14,1.60894e-29,4.42878e-13,2.21439e-13,6.3542e-16,-14.8347,1.46313e-15,4096,0.1655,0.6911,0.1434
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,2.269042,5.208824,528.391174,0.000000,0.000000,CSR_CV_BLOCK_FPC,10203,321696,46168124,290.958301,0.550649,7.3301e-15,2.34257e-14,8.98052e-29,8.61558e-13,4.30779e-13,-2.03707e-15,-14.3288,4.69053e-15,8192,0.1640,0.6983,0.1376
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,2.290641,5.159709,528.391174,0.000000,0.000000,CSR_CV_BLOCK_FPC,10203,321696,46168124,289.540469,0.547966,9.29862e-15,2.34257e-14,1.3278e-28,1.07397e-12,5.36984e-13,-3.39577e-15,-14.1068,7.81905e-15,16384,0.1620,0.6981,0.1399
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,2.260034,5.229584,528.391174,0.000000,0.000000,CSR_CV_BLOCK_FPC,10203,321696,46168124,288.630473,0.546244,1.02932e-14,2.34257e-14,1.5451e-28,1.18114e-12,5.90572e-13,-4.04506e-15,-14.0309,9.31411e-15,32768,0.1615,0.6970,0.1416
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,2.301754,5.134797,528.391174,0.000000,0.000000,CSR_CV_BLOCK_FPC,10203,321696,46168124,288.089288,0.545220,1.07771e-14,2.34257e-14,1.65082e-28,1.23312e-12,6.1656e-13,-4.39497e-15,-13.9948,1.01198e-14,65536,0.1586,0.6908,0.1506
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,2.415585,4.892827,528.391174,0.000000,0.000000,CSR_CV_BLOCK_FPC,10203,321696,46168124,287.781641,0.544637,1.10041e-14,2.34257e-14,1.70047e-28,1.25779e-12,6.28896e-13,-4.55779e-15,-13.979,1.04947e-14,131072,0.1551,0.6745,0.1704
