matrix_name,num_threads,csr_m,csr_n,csr_nnz,time,gflops,csr_mem_footprint,W_avg,J_estimated,format_name,m,n,nnz,mem_footprint,mem_ratio,CSRCV_NUM_PACKET_VALS,unbalance_time,unbalance_size,row_bits_avg,col_bits_avg,row_col_bytes_avg,compression_spmv_loops,tolerance
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,1.006892,12.930296,528.391174,0.000000,0.000000,CSR_CVS,10203,321696,46168124,251.846727,0.476629,64,5.10,3.68,0.0224,15.7273,1.9687,20.7720,0
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,1.000880,13.561489,528.391174,0.000000,0.000000,CSR_CVS,10203,321696,46168124,230.969363,0.437118,128,7.15,3.72,0.0447,15.9956,2.0050,20.4578,0
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,1.001280,13.924946,528.391174,0.000000,0.000000,CSR_CVS,10203,321696,46168124,220.157416,0.416656,256,5.17,3.91,0.0922,16.2332,2.0407,22.2750,0
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,1.005781,14.138046,528.391174,0.000000,0.000000,CSR_CVS,10203,321696,46168124,215.700987,0.408222,512,3.90,3.83,0.1784,16.6215,2.1000,23.8704,0
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,1.002158,13.912743,528.391174,0.000000,0.000000,CSR_CVS,10203,321696,46168124,219.811049,0.416001,1024,5.10,4.20,0.3551,17.9303,2.2857,24.8242,0
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,1.005261,13.410534,528.391174,0.000000,0.000000,CSR_CVS,10203,321696,46168124,238.338144,0.451064,2048,3.56,7.39,0.6980,21.4050,2.7629,25.3715,0
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,1.019044,11.598165,528.391174,0.000000,0.000000,CSR_CVS,10203,321696,46168124,243.194728,0.460255,4096,3.16,4.51,1.3385,21.9964,2.9169,23.3628,0
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,1.041758,11.345278,528.391174,0.000000,0.000000,CSR_CVS,10203,321696,46168124,242.728078,0.459372,8192,5.61,3.78,2.2543,21.4864,2.9676,24.3888,0
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,1.004444,12.042531,528.391174,0.000000,0.000000,CSR_CVS,10203,321696,46168124,240.902511,0.455917,16384,7.53,3.38,2.9078,21.0527,2.9951,29.0208,0
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,1.004368,12.319249,528.391174,0.000000,0.000000,CSR_CVS,10203,321696,46168124,237.726092,0.449905,32768,7.47,3.26,3.5963,20.3699,2.9958,30.7458,0
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,1.005963,12.299718,528.391174,0.000000,0.000000,CSR_CVS,10203,321696,46168124,233.432760,0.441780,65536,6.36,3.11,4.2103,19.7228,2.9916,35.3553,0
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,1.041606,11.346937,528.391174,0.000000,0.000000,CSR_CVS,10203,321696,46168124,243.832254,0.461462,131072,8.58,2.91,5.8661,20.7350,3.3251,39.6682,0
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,1.114510,10.604701,528.391174,0.000000,0.000000,CSR_CVS,10203,321696,46168124,264.943686,0.501416,262144,8.29,2.67,7.4158,23.5316,3.8684,49.5951,0
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,1.097650,10.767584,528.391174,0.000000,0.000000,CSR_CVS,10203,321696,46168124,259.444725,0.491009,524288,6.62,1.81,7.9792,23.9375,3.9896,62.8652,0
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,1.178769,10.026597,528.391174,0.000000,0.000000,CSR_CVS,10203,321696,46168124,254.608345,0.481856,1048576,7.13,1.97,8.0000,24.0000,4.0000,72.4196,0
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,1.137463,10.390702,528.391174,0.000000,0.000000,CSR_CVS,10203,321696,46168124,255.052721,0.482697,2097152,4.50,2.10,8.0000,24.0000,4.0000,78.5041,0
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,1.135210,10.411324,528.391174,0.000000,0.000000,CSR_CVS,10203,321696,46168124,255.052721,0.482697,4194304,4.50,2.10,8.0000,24.0000,4.0000,87.5290,0
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,1.121644,10.537244,528.391174,0.000000,0.000000,CSR_CVS,10203,321696,46168124,255.052721,0.482697,8388608,4.64,2.10,8.0000,24.0000,4.0000,90.2203,0
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,1.145014,10.322180,528.391174,0.000000,0.000000,CSR_CVS,10203,321696,46168124,255.052721,0.482697,16777216,5.15,2.10,8.0000,24.0000,4.0000,106.8368,0
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,1.171012,10.170483,536.039845,0.000000,0.000000,CSR_CVS,952203,952203,46522475,471.827866,0.880210,64,1.89,1.93,2.2022,20.3930,2.8244,30.2423,0
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,1.129375,10.545433,536.039845,0.000000,0.000000,CSR_CVS,952203,952203,46522475,448.151124,0.836041,128,1.54,1.87,3.1940,19.9486,2.8928,32.9378,0
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,1.151711,10.340920,536.039845,0.000000,0.000000,CSR_CVS,952203,952203,46522475,428.790468,0.799923,256,2.79,1.81,3.9101,19.5764,2.9358,33.9441,0
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,1.086610,10.960463,536.039845,0.000000,0.000000,CSR_CVS,952203,952203,46522475,412.015557,0.768629,512,3.13,1.67,4.5666,19.1435,2.9638,37.7626,0
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,1.010425,11.786873,536.039845,0.000000,0.000000,CSR_CVS,952203,952203,46522475,410.422018,0.765656,1024,1.89,4.87,6.0592,19.8388,3.2373,43.2795,0
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,1.002953,11.967455,536.039845,0.000000,0.000000,CSR_CVS,952203,952203,46522475,418.049709,0.779886,2048,3.45,3.37,7.3659,21.5574,3.6154,46.0750,0
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,1.000537,12.461332,536.039845,0.000000,0.000000,CSR_CVS,952203,952203,46522475,425.471764,0.793732,4096,3.09,2.37,7.9653,23.4220,3.9234,50.9786,0
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,1.002869,11.875687,536.039845,0.000000,0.000000,CSR_CVS,952203,952203,46522475,422.677817,0.788519,8192,8.21,2.28,8.0000,23.7718,3.9715,52.9583,0
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,1.003692,12.422156,536.039845,0.000000,0.000000,CSR_CVS,952203,952203,46522475,420.071992,0.783658,16384,6.02,2.12,7.9984,23.8198,3.9773,56.7537,0
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,1.002389,12.438312,536.039845,0.000000,0.000000,CSR_CVS,952203,952203,46522475,420.071992,0.783658,32768,5.03,2.12,7.9984,23.8198,3.9773,56.8815,0
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,1.007221,12.193877,536.039845,0.000000,0.000000,CSR_CVS,952203,952203,46522475,420.071992,0.783658,65536,7.35,2.12,7.9984,23.8198,3.9773,55.9982,0
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,1.005169,12.126214,536.039845,0.000000,0.000000,CSR_CVS,952203,952203,46522475,420.071992,0.783658,131072,8.24,2.12,7.9984,23.8198,3.9773,55.7261,0
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,1.001498,12.449375,536.039845,0.000000,0.000000,CSR_CVS,952203,952203,46522475,420.071992,0.783658,262144,4.78,2.12,7.9984,23.8198,3.9773,57.9247,0
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,1.002330,12.253379,536.039845,0.000000,0.000000,CSR_CVS,952203,952203,46522475,420.071992,0.783658,524288,6.65,2.12,7.9984,23.8198,3.9773,57.6179,0
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,1.002864,12.154077,536.039845,0.000000,0.000000,CSR_CVS,952203,952203,46522475,420.071992,0.783658,1048576,8.18,2.12,7.9984,23.8198,3.9773,60.0050,0
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,1.001862,12.259103,536.039845,0.000000,0.000000,CSR_CVS,952203,952203,46522475,420.071992,0.783658,2097152,5.90,2.12,7.9984,23.8198,3.9773,64.0880,0
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,1.004072,12.232125,536.039845,0.000000,0.000000,CSR_CVS,952203,952203,46522475,420.071992,0.783658,4194304,7.34,2.12,7.9984,23.8198,3.9773,76.7389,0
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,1.006115,12.299767,536.039845,0.000000,0.000000,CSR_CVS,952203,952203,46522475,420.071992,0.783658,8388608,6.83,2.12,7.9984,23.8198,3.9773,85.2830,0
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,1.004393,12.228213,536.039845,0.000000,0.000000,CSR_CVS,952203,952203,46522475,420.071992,0.783658,16777216,7.04,2.12,7.9984,23.8198,3.9773,104.2292,0
/home/users/dgal/Data/graphs/tamu/matrices/dielFilterV2real/dielFilterV2real.mtx,16,1157456,1157456,48538952,1.321546,9.402600,559.899570,0.000000,0.000000,CSR_CVS,1157456,1157456,48538952,524.160107,0.936168,64,5.84,0.37,1.4544,22.5411,2.9994,27.8061,0
/home/users/dgal/Data/graphs/tamu/matrices/dielFilterV2real/dielFilterV2real.mtx,16,1157456,1157456,48538952,1.309945,9.485870,559.899570,0.000000,0.000000,CSR_CVS,1157456,1157456,48538952,500.524158,0.893953,128,4.53,0.73,2.3373,21.6627,3.0000,29.6256,0
/home/users/dgal/Data/graphs/tamu/matrices/dielFilterV2real/dielFilterV2real.mtx,16,1157456,1157456,48538952,1.277207,9.729017,559.899570,0.000000,0.000000,CSR_CVS,1157456,1157456,48538952,481.008640,0.859098,256,2.53,1.30,3.1929,20.8073,3.0000,32.4133,0
