matrix_name,num_threads,csr_m,csr_n,csr_nnz,time,gflops,csr_mem_footprint,W_avg,J_estimated,format_name,m,n,nnz,mem_footprint,mem_ratio,spmv_mae,spmv_max_ae,spmv_mse,spmv_mape,spmv_smape,spmv_lnQ_error,spmv_mlare,spmv_gmare,CSRCV_NUM_PACKET_VALS,matrix_mae,matrix_max_ae,matrix_mse,matrix_mape,matrix_smape,matrix_lnQ_error,matrix_mlare,matrix_gmare,unbalance_time,unbalance_size,row_bits_avg,col_bits_avg,row_col_bytes_avg,compression_time,compression_spmv_loops,tolerance
/home/users/dgal/Data/graphs/tamu/matrices/ts-palko/ts-palko.mtx,16,22002,47235,1076903,1.000034,15.321662,12.408112,0.000000,0.000000,CSR_CV_STREAM,22002,47235,1076903,3.032460,0.244393,0,0,0,0,0,0,-inf,0,16384,0,0,0,0,0,0,-inf,0,116.20,2.40,7.5745,16.0000,2.9468,0.0090,64.6446,0
/home/users/dgal/Data/graphs/tamu/matrices/neos/neos.mtx,16,479119,515905,1526794,1.000069,32.063510,19.300468,0.000000,0.000000,CSR_CV_STREAM,479119,515905,1526794,5.848680,0.303033,0,0,0,0,0,0,-inf,0,16384,0,0,0,0,0,0,-inf,0,9.18,1.67,7.9952,23.4706,3.9332,0.0119,127.7592,0
/home/users/dgal/Data/graphs/tamu/matrices/stat96v3/stat96v3.mtx,16,33841,1113780,3317736,1.000133,33.697069,38.097572,0.000000,0.000000,CSR_CV_STREAM,33841,1113780,3317736,12.715871,0.333771,3.24649e-15,4.06342e-14,3.03406e-29,1.98165e-05,9.90827e-06,-2.80244e-08,-7.19025,6.45285e-08,16384,0,0,0,0,0,0,-inf,0,6.81,0.84,7.9952,23.7356,3.9663,0.0200,102.7605,0
/home/users/dgal/Data/graphs/tamu/matrices/stormG2_1000/stormG2_1000.mtx,16,528185,1377306,3459881,1.000060,27.732756,41.610065,0.000000,0.000000,CSR_CV_STREAM,528185,1377306,3459881,12.908029,0.310214,0.00378277,1,0.00378277,1.69337e+15,0.376211,0.0588599,-0.838202,0.145143,16384,0,0,0,0,0,0,-inf,0,4.17,0.67,8.0000,22.7462,3.8433,0.0156,63.1169,0
/home/users/dgal/Data/graphs/tamu/matrices/xenon2/xenon2.mtx,16,157464,157464,3866688,1.000004,22.310701,44.851414,0.000000,0.000000,CSR_CV_STREAM,157464,157464,3866688,20.030460,0.446596,1.73751e+12,1.97912e+13,6.31821e+24,6.03173e-14,3.01587e-14,3.38431e-18,-17.1076,7.80626e-18,16384,0,0,0,0,0,0,-inf,0,1.58,1.97,7.9873,15.9873,2.9968,0.0342,100.1240,0
/home/users/dgal/Data/graphs/tamu/matrices/s3dkq4m2/s3dkq4m2.mtx,16,90449,90449,4820891,1.000214,34.510182,55.515759,0.000000,0.000000,CSR_CV_STREAM,90449,90449,4820891,15.999179,0.288192,9.22299e-14,1.62168e-12,3.62522e-26,6.45858e-09,3.22929e-09,7.68503e-13,-11.7521,1.76954e-12,16384,0,0,0,0,0,0,-inf,0,0.75,1.02,7.8270,15.8270,2.9568,0.0401,144.9298,0
/home/users/dgal/Data/graphs/tamu/matrices/apache2/apache2.mtx,16,715176,715176,4817870,1.000042,30.081521,57.864330,0.000000,0.000000,CSR_CV_STREAM,715176,715176,4817870,14.180769,0.245069,1.21263e-13,2.25953e-12,2.05182e-25,2.35649,1.20326,-0.00381369,-2.05834,0.0087429,16384,0,0,0,0,0,0,-inf,0,0.57,0.14,7.9964,16.0092,3.0007,0.0200,63.1192,0
/home/users/dgal/Data/graphs/tamu/matrices/Si34H36/Si34H36.mtx,16,97569,97569,5156379,1.000145,28.407521,59.382275,0.000000,0.000000,CSR_CV_STREAM,97569,97569,5156379,18.733420,0.315472,1.59709e-14,5.9508e-14,3.75973e-28,3.019e-11,1.5095e-11,1.12291e-13,-12.5874,2.58559e-13,16384,0,0,0,0,0,0,-inf,0,6.08,11.29,8.0000,16.0000,3.0000,0.0432,120.0861,0
/home/users/dgal/Data/graphs/tamu/matrices/ecology2/ecology2.mtx,16,999999,999999,4995991,1.000071,27.176258,60.989277,0.000000,0.000000,CSR_CV_STREAM,999999,999999,4995991,14.628974,0.239861,4.02168e-18,1.55431e-15,5.02505e-33,0.376764,0.320302,-0.000629628,-2.83901,0.00144872,16384,0,0,0,0,0,0,-inf,0,2.25,0.52,7.9980,16.0000,2.9997,0.0193,52.9861,0
/home/users/dgal/Data/graphs/tamu/matrices/LargeRegFile/LargeRegFile.mtx,16,2111154,801374,4944201,1.000513,18.046958,64.635307,0.000000,0.000000,CSR_CV_STREAM,2111154,801374,4944201,20.436947,0.316189,0,0,0,0,0,0,-inf,0,16384,0,0,0,0,0,0,-inf,0,2.43,0.82,8.0000,23.4225,3.9278,0.0302,55.7986,0
