matrix_name,num_threads,csr_m,csr_n,csr_nnz,time,gflops,csr_mem_footprint,W_avg,J_estimated,format_name,m,n,nnz,mem_footprint,mem_ratio,spmv_mae,spmv_max_ae,spmv_mse,spmv_mape,spmv_smape,spmv_lnQ_error,spmv_mlare,spmv_gmare
/home/users/dgal/Data/graphs/tamu/matrices/ts-palko/ts-palko.mtx,16,22002,47235,1076903,1.000067,31.699753,12.408112,0.000000,0.000000,Custom_CSR_BV_LUT_x86,22002,47235,1076903,4.192284,0.337866,0,0,0,0,0,0,-inf,0
/home/users/dgal/Data/graphs/tamu/matrices/neos/neos.mtx,16,479119,515905,1526794,1.000081,17.248319,19.300468,0.000000,0.000000,Custom_CSR_BV_LUT_x86,479119,515905,1526794,7.652016,0.396468,0,0,0,0,0,0,-inf,0
/home/users/dgal/Data/graphs/tamu/matrices/stat96v3/stat96v3.mtx,16,33841,1113780,3317736,1.000081,37.560353,38.097572,0.000000,0.000000,Custom_CSR_BV_LUT_x86,33841,1113780,3317736,12.786690,0.335630,1.81032e-15,9.32587e-15,7.09304e-30,1.29153e-05,6.45765e-06,-5.41095e-08,-6.90451,1.24592e-07
/home/users/dgal/Data/graphs/tamu/matrices/stormG2_1000/stormG2_1000.mtx,16,528185,1377306,3459881,1.000285,23.209182,41.610065,0.000000,0.000000,Custom_CSR_BV_LUT_x86,528185,1377306,3459881,15.214779,0.365651,7.53342e-19,1.13687e-13,6.42338e-32,1.77765e-19,8.88827e-20,8.40783e-22,-inf,0
/home/users/dgal/Data/graphs/tamu/matrices/xenon2/xenon2.mtx,16,157464,157464,3866688,1.000118,20.359584,44.851414,0.000000,0.000000,Custom_CSR_BV_LUT_x86,157464,157464,3866688,16.775547,0.374025,1.66244e+12,1.53932e+13,5.28199e+24,5.62814e-14,2.81407e-14,9.11508e-18,-16.6771,2.10335e-17
/home/users/dgal/Data/graphs/tamu/matrices/s3dkq4m2/s3dkq4m2.mtx,16,90449,90449,4820891,1.000140,24.708437,55.515759,0.000000,0.000000,Custom_CSR_BV_LUT_x86,90449,90449,4820891,19.868748,0.357894,6.3443e-14,8.20264e-13,1.48245e-26,5.00567e-09,2.50284e-09,2.7377e-13,-12.2004,6.30379e-13
/home/users/dgal/Data/graphs/tamu/matrices/apache2/apache2.mtx,16,715176,715176,4817870,1.000388,22.962684,57.864330,0.000000,0.000000,Custom_CSR_BV_LUT_x86,715176,715176,4817870,21.107510,0.364776,8.82247e-15,4.26326e-14,3.25008e-28,0.104509,0.0524747,-0.000455792,-2.97925,0.00104895
/home/users/dgal/Data/graphs/tamu/matrices/Si34H36/Si34H36.mtx,16,97569,97569,5156379,1.000245,19.836879,59.382275,0.000000,0.000000,Custom_CSR_BV_LUT_x86,97569,97569,5156379,21.785252,0.366865,1.59914e-15,3.9968e-14,6.53092e-30,1.91103e-12,9.55514e-13,-1.24211e-15,-14.5436,2.86007e-15
/home/users/dgal/Data/graphs/tamu/matrices/ecology2/ecology2.mtx,16,999999,999999,4995991,1.000130,23.328254,60.989277,0.000000,0.000000,Custom_CSR_BV_LUT_x86,999999,999999,4995991,22.873165,0.375036,3.11729e-18,2.22045e-15,5.32092e-33,0.238213,0.231582,-0.00122563,-2.55004,0.00281813
/home/users/dgal/Data/graphs/tamu/matrices/LargeRegFile/LargeRegFile.mtx,16,2111154,801374,4944201,1.000366,13.186308,64.635307,0.000000,0.000000,Custom_CSR_BV_LUT_x86,2111154,801374,4944201,26.914337,0.416403,0,0,0,0,0,0,-inf,0
