matrix_name,num_threads,csr_m,csr_n,csr_nnz,time,gflops,csr_mem_footprint,W_avg,J_estimated,format_name,m,n,nnz,mem_footprint,mem_ratio,spmv_mae,spmv_max_ae,spmv_mse,spmv_mape,spmv_smape,spmv_lnQ_error,spmv_mlare,spmv_gmare,CSRCV_NUM_PACKET_VALS,matrix_mae,matrix_max_ae,matrix_mse,matrix_mape,matrix_smape,matrix_lnQ_error,matrix_mlare,matrix_gmare,unbalance_time,unbalance_size,row_bits_avg,col_bits_avg,row_col_bytes_avg,compression_spmv_loops,tolerance
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,1.004385,13.054502,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,227.793070,0.431107,4.48859e-14,9.34808e-14,2.79267e-27,5.12668e-12,2.56334e-12,1.88154e-14,-13.3633,4.3324e-14,64,0,0,0,0,0,0,-inf,0,4.03,5.01,0.0224,15.7273,1.9687,61.7847,0
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,1.001483,14.751920,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,203.118265,0.384409,4.50114e-14,9.34808e-14,2.8068e-27,5.14167e-12,2.57084e-12,1.88808e-14,-13.3618,4.34747e-14,128,0,0,0,0,0,0,-inf,0,4.06,5.04,0.0447,15.9956,2.0050,42.8391,0
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,1.001144,15.494769,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,190.334414,0.360215,4.52548e-14,9.34808e-14,2.83377e-27,5.17174e-12,2.58587e-12,1.8996e-14,-13.3591,4.374e-14,256,0,0,0,0,0,0,-inf,0,3.11,5.25,0.0922,16.2332,2.0407,37.5600,0
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,1.003455,15.275040,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,184.814361,0.349768,4.57737e-14,9.34808e-14,2.8911e-27,5.23493e-12,2.61746e-12,1.92462e-14,-13.3534,4.4316e-14,512,0,0,0,0,0,0,-inf,0,2.88,5.17,0.1784,16.6215,2.1000,34.7387,0
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,1.002044,14.559361,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,188.350487,0.356460,4.68306e-14,9.34808e-14,3.01001e-27,5.36304e-12,2.68152e-12,1.97324e-14,-13.3426,4.54354e-14,1024,0,0,0,0,0,0,-inf,0,4.07,4.14,0.3551,17.9303,2.2857,32.0942,0
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,1.003267,12.700902,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,206.571026,0.390943,4.87609e-14,9.34808e-14,3.24715e-27,5.59132e-12,2.79566e-12,2.05595e-14,-13.3248,4.73398e-14,2048,0,0,0,0,0,0,-inf,0,4.22,9.12,0.6980,21.4050,2.7629,28.3023,0
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,1.086564,10.877447,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,211.250437,0.399799,5.12466e-14,1.00919e-13,3.64023e-27,5.86751e-12,2.93376e-12,2.15188e-14,-13.305,4.9549e-14,4096,0,0,0,0,0,0,-inf,0,3.88,5.76,1.3385,21.9964,2.9169,24.7082,0
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,1.145942,10.313819,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,210.570152,0.398512,5.22603e-14,1.02363e-13,3.79849e-27,5.97543e-12,2.98771e-12,2.18454e-14,-13.2984,5.03009e-14,8192,0,0,0,0,0,0,-inf,0,3.72,4.95,2.2543,21.4864,2.9676,24.1112,0
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,1.116398,10.586765,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,208.555316,0.394699,5.27303e-14,1.01918e-13,3.86651e-27,6.02557e-12,3.01278e-12,2.19904e-14,-13.2956,5.06347e-14,16384,0,0,0,0,0,0,-inf,0,4.22,4.57,2.9078,21.0527,2.9951,26.6919,0
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,1.097071,10.773263,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,205.210699,0.388369,5.29121e-14,1.02029e-13,3.89432e-27,6.04454e-12,3.02227e-12,2.20415e-14,-13.2945,5.07524e-14,32768,0,0,0,0,0,0,-inf,0,4.00,4.47,3.5963,20.3699,2.9958,29.7313,0
