matrix_name,num_threads,csr_m,csr_n,csr_nnz,time,gflops,csr_mem_footprint,W_avg,J_estimated,format_name,m,n,nnz,mem_footprint,mem_ratio,spmv_mae,spmv_max_ae,spmv_mse,spmv_mape,spmv_smape
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.430097,8.264501,528.391174,0.000000,0.000000,AOCL_OPTMV,10203,321696,46168124,528.391174,1.000000,1.12257e-14,2.34257e-14,1.74777e-28,1.28029e-12,6.40144e-13
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.492540,7.979520,536.039845,0.000000,0.000000,AOCL_OPTMV,952203,952203,46522475,536.039845,1.000000,1.11525e-10,2.98023e-08,3.15076e-19,8.00568e-12,4.00284e-12
/users/panastas/Data/graphs/tamu/matrices/dielFilterV2real/dielFilterV2real.mtx,64,1157456,1157456,48538952,1.413920,9.406243,559.899570,0.000000,0.000000,AOCL_OPTMV,1157456,1157456,48538952,559.899570,1.000000,4.1797e-16,2.84217e-14,1.36878e-30,7.35731e-14,3.67866e-14
/users/panastas/Data/graphs/tamu/matrices/nv2/nv2.mtx,64,1453908,1453908,52728362,1.636479,8.248479,608.974438,0.000000,0.000000,AOCL_OPTMV,1453908,1453908,52728362,608.974438,1.000000,21.6576,55295.9,220446,14.1372,0.00547535
/users/panastas/Data/graphs/tamu/matrices/af_shell10/af_shell10.mtx,64,1508065,1508065,52672325,1.272723,12.415665,608.539738,0.000000,0.000000,AOCL_OPTMV,1508065,1508065,52672325,608.539738,1.000000,1.81359e-11,2.28908e-10,8.27408e-22,0.00227448,0.00027552
/users/panastas/Data/graphs/tamu/matrices/boneS10/boneS10.mtx,64,914898,914898,55468422,1.125395,13.603477,638.275776,0.000000,0.000000,AOCL_OPTMV,914898,914898,55468422,638.275776,1.000000,7.65196e-13,6.06803e-12,1.2234e-24,2.31131e-07,1.15566e-07
/users/panastas/Data/graphs/tamu/matrices/circuit5M/circuit5M.mtx,64,5558326,5558326,59524291,3.714703,4.102136,702.404785,0.000000,0.000000,AOCL_OPTMV,5558326,5558326,59524291,702.404785,1.000000,8.84853e-18,5.08573e-12,2.36353e-29,0.065266,0.0117329
/users/panastas/Data/graphs/tamu/matrices/Hook_1498/Hook_1498.mtx,64,1498023,1498023,60917445,0.963299,22.639321,702.859341,0.000000,0.000000,AOCL_OPTMV,1498023,1498023,60917445,702.859341,1.000000,3.35562e-12,5.20934e-11,2.20249e-23,inf,0.0720968
/users/panastas/Data/graphs/tamu/matrices/Geo_1438/Geo_1438.mtx,64,1437960,1437960,63156690,0.953418,23.582299,728.256344,0.000000,0.000000,AOCL_OPTMV,1437960,1437960,63156690,728.256344,1.000000,6.81423e-06,0.00152344,3.54322e-10,inf,0.188387
/users/panastas/Data/graphs/tamu/matrices/Serena/Serena.mtx,64,1391349,1391349,64531701,0.996541,23.441552,743.814289,0.000000,0.000000,AOCL_OPTMV,1391349,1391349,64531701,743.814289,1.000000,5.77434e-06,0.00390625,2.75054e-10,inf,0.000581539
