matrix_name,num_threads,csr_m,csr_n,csr_nnz,time,error,num_iterations,csr_mem_footprint,W_avg,J_estimated,format_name,m,n,nnz,mem_footprint,mem_ratio,CSRCV_NUM_PACKET_VALS,matrix_mae,matrix_max_ae,matrix_mse,matrix_mape,matrix_smape,matrix_lnQ_error,matrix_mlare,matrix_gmare,unbalance_time,unbalance_size,row_bits_avg,col_bits_avg,row_col_bytes_avg,compression_time,compression_spmv_loops,tolerance
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,37.653241,2.32066e-07,17119,536.039845,0.000000,0.000000,CSR_CV_STREAM,952203,952203,46522475,286.932167,0.535281,16384,0.00193319,1.99965,0.000166484,1.96592e-06,9.82961e-07,-1.39698e-12,-11.4926,3.21666e-12,16.81,2.71,7.9934,23.8006,3.9742,0.1394,89.5730,1e-07
/users/panastas/Data/graphs/tamu/matrices/dielFilterV2real/dielFilterV2real.mtx,64,1157456,1157456,48538952,119.280506,8.06043e-09,37418,559.899570,0.000000,0.000000,CSR_CV_STREAM,1157456,1157456,48538952,320.285408,0.572041,16384,5.76465e-09,1.90657e-06,6.50552e-16,2.15033e-06,1.07517e-06,-3.50823e-12,-11.0927,8.078e-12,39.42,1.73,7.9915,23.9928,3.9980,0.1492,67.5331,1e-07
/users/panastas/Data/graphs/tamu/matrices/boneS10/boneS10.mtx,64,914898,914898,55468422,65.392049,2.85516e-05,49917,638.275776,0.000000,0.000000,CSR_CV_STREAM,914898,914898,55468422,160.324839,0.251184,16384,1.79093e-05,0.000921875,5.62889e-09,1.42248e-06,7.11241e-07,4.7319e-10,-8.96275,1.08956e-09,4.20,0.14,8.0000,16.0000,3.0000,0.1036,104.6521,1e-07
/users/panastas/Data/graphs/tamu/matrices/Hook_1498/Hook_1498.mtx,64,1498023,1498023,60917445,14.519076,6.28154e-07,6384,702.859341,0.000000,0.000000,CSR_CV_STREAM,1498023,1498023,60917445,285.759103,0.406567,16384,5.79652e-05,0.003905,2.64584e-08,2.0882e-06,1.0441e-06,4.4597e-12,-10.9885,1.02688e-11,10.27,1.83,7.9998,15.9988,2.9998,0.1739,119.0198,1e-07
/users/panastas/Data/graphs/tamu/matrices/Geo_1438/Geo_1438.mtx,64,1437960,1437960,63156690,7.492177,5.88551e-08,2838,728.256344,0.000000,0.000000,CSR_CV_STREAM,1437960,1437960,63156690,336.057228,0.461455,16384,205.864,260696,2.18725e+06,2.03556e-06,1.01778e-06,9.49074e-13,-11.6605,2.18532e-12,10.80,2.52,8.0000,16.0000,3.0000,0.1810,103.4223,1e-07
/users/panastas/Data/graphs/tamu/matrices/Serena/Serena.mtx,64,1391349,1391349,64531701,6.618954,1.37384e-08,1981,743.814289,0.000000,0.000000,CSR_CV_STREAM,1391349,1391349,64531701,395.687903,0.531971,16384,320.135,1.78082e+06,1.36504e+07,2.12066e-06,1.06033e-06,1.16171e-12,-11.5727,2.67493e-12,26.11,3.30,7.9945,22.4253,3.8025,0.1912,82.9558,1e-07
/users/panastas/Data/graphs/tamu/matrices/bone010/bone010.mtx,64,986703,986703,71666325,36.753132,4.61152e-05,21481,823.919979,0.000000,0.000000,CSR_CV_STREAM,986703,986703,71666325,206.861179,0.251070,16384,2.10171e-05,0.000921875,8.90257e-09,1.27794e-06,6.3897e-07,1.06149e-09,-8.61187,2.44417e-09,3.64,0.04,7.9984,15.9998,2.9998,0.1197,88.7772,1e-07
/users/panastas/Data/graphs/tamu/matrices/audikw_1/audikw_1.mtx,64,943695,943695,77651847,48.087212,2.20707e-05,11979,892.254780,0.000000,0.000000,CSR_CV_STREAM,943695,943695,77651847,444.813901,0.498528,16384,0.00334047,239.858,0.00937284,2.14924e-06,1.07462e-06,-4.16161e-12,-11.0185,9.58246e-12,38.97,2.81,7.9531,23.9613,3.9893,0.2249,72.5692,1e-07
/users/panastas/Data/graphs/tamu/matrices/dielFilterV3real/dielFilterV3real.mtx,64,1102824,1102824,89306020,481.560855,3.90489e-09,80657,1026.233234,0.000000,0.000000,CSR_CV_STREAM,1102824,1102824,89306020,589.101846,0.574043,16384,1.32572e-09,1.87314e-06,7.30638e-17,2.14009e-06,1.07054e-06,-2.7279e-12,-11.202,6.28123e-12,51.67,3.22,7.9975,23.9967,3.9993,0.2593,52.8252,1e-07
/users/panastas/Data/graphs/tamu/matrices/Flan_1565/Flan_1565.mtx,64,1564794,1564794,117406044,49.661724,1.31557e-05,17232,1349.574764,0.000000,0.000000,CSR_CV_STREAM,1564794,1564794,117406044,374.767840,0.277693,16384,0.00255865,0.491,9.49957e-05,1.69216e-06,8.4608e-07,-3.4987e-10,-9.09388,8.05606e-10,5.31,4.50,7.9990,15.9999,2.9999,0.2855,151.5734,1e-07
