matrix_name,num_threads,csr_m,csr_n,csr_nnz,time,gflops,csr_mem_footprint,W_avg,J_estimated,format_name,m,n,nnz,mem_footprint,mem_ratio,spmv_mae,spmv_max_ae,spmv_mse,spmv_mape,spmv_smape
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,0.969479,40.287851,528.391174,0.000000,0.000000,CSR5,10203,321696,46168124,0.000000,0.000000,1.71624e-16,1.66533e-15,6.24343e-32,3.60241e-15,1.8012e-15
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,0.943376,38.071073,536.039845,0.000000,0.000000,CSR5,952203,952203,46522475,0.000000,0.000000,1.19722e-10,2.98023e-08,3.1203e-19,8.83237e-12,4.41619e-12
/users/panastas/Data/graphs/tamu/matrices/dielFilterV2real/dielFilterV2real.mtx,64,1157456,1157456,48538952,0.923483,34.479864,559.899570,0.000000,0.000000,CSR5,1157456,1157456,48538952,0.000000,0.000000,2.81652e-16,2.13163e-14,6.38735e-31,3.56888e-14,1.78444e-14
/users/panastas/Data/graphs/tamu/matrices/nv2/nv2.mtx,64,1453908,1453908,52728362,0.951617,32.691449,608.974438,0.000000,0.000000,CSR5,1453908,1453908,52728362,0.000000,0.000000,11.8568,53248.1,96809.2,0.014618,0.00616963
/users/panastas/Data/graphs/tamu/matrices/af_shell10/af_shell10.mtx,64,1508065,1508065,52672325,0.959679,36.334092,608.539738,0.000000,0.000000,CSR5,1508065,1508065,52672325,0.000000,0.000000,2.27663e-11,3.90969e-10,1.33937e-21,0.00157615,0.000255397
/users/panastas/Data/graphs/tamu/matrices/boneS10/boneS10.mtx,64,914898,914898,55468422,0.966581,35.694227,638.275776,0.000000,0.000000,CSR5,914898,914898,55468422,0.000000,0.000000,1.39099e-12,1.16103e-11,4.15763e-24,3.53787e-07,1.76894e-07
/users/panastas/Data/graphs/tamu/matrices/circuit5M/circuit5M.mtx,64,5558326,5558326,59524291,0.917538,22.576119,702.404785,0.000000,0.000000,CSR5,5558326,5558326,59524291,0.000000,0.000000,1.03995e-17,2.67236e-13,1.53071e-31,5.61183,0.358373
/users/panastas/Data/graphs/tamu/matrices/Hook_1498/Hook_1498.mtx,64,1498023,1498023,60917445,0.947984,33.800757,702.859341,0.000000,0.000000,CSR5,1498023,1498023,60917445,0.000000,0.000000,3.33618e-12,5.70477e-11,2.12119e-23,inf,0.0764083
/users/panastas/Data/graphs/tamu/matrices/Geo_1438/Geo_1438.mtx,64,1437960,1437960,63156690,0.974622,33.307836,728.256344,0.000000,0.000000,CSR5,1437960,1437960,63156690,0.000000,0.000000,6.1255e-06,0.00097701,2.77327e-10,inf,0.189678
/users/panastas/Data/graphs/tamu/matrices/Serena/Serena.mtx,64,1391349,1391349,64531701,0.959924,33.344009,743.814289,0.000000,0.000000,CSR5,1391349,1391349,64531701,0.000000,0.000000,4.90389e-06,0.00390625,2.20567e-10,inf,0.000702141
/users/panastas/Data/graphs/tamu/matrices/vas_stokes_2M/vas_stokes_2M.mtx,64,2146677,2146677,65129037,0.965313,29.011828,753.531605,0.000000,0.000000,CSR5,2146677,2146677,65129037,0.000000,0.000000,8.71934e-17,1.94776e-15,1.70952e-32,inf,0.000602204
/users/panastas/Data/graphs/tamu/matrices/bone010/bone010.mtx,64,986703,986703,71666325,0.958783,34.084720,823.919979,0.000000,0.000000,CSR5,986703,986703,71666325,0.000000,0.000000,1.84712e-12,1.12763e-11,6.57273e-24,3.60454e-07,1.80227e-07
/users/panastas/Data/graphs/tamu/matrices/audikw_1/audikw_1.mtx,64,943695,943695,77651847,0.952507,31.305085,892.254780,0.000000,0.000000,CSR5,943695,943695,77651847,0.000000,0.000000,3.04057e-10,1.19209e-06,1.28199e-17,2.69112e-09,1.34556e-09
/users/panastas/Data/graphs/tamu/matrices/Long_Coup_dt0/Long_Coup_dt0.mtx,64,1470152,1470152,87088992,0.914418,30.286269,1002.262608,0.000000,0.000000,CSR5,1470152,1470152,87088992,0.000000,0.000000,0.000268637,0.645503,1.01424e-05,42202.1,0.0329264
/users/panastas/Data/graphs/tamu/matrices/Long_Coup_dt6/Long_Coup_dt6.mtx,64,1470152,1470152,87088992,0.941832,30.884203,1002.262608,0.000000,0.000000,CSR5,1470152,1470152,87088992,0.000000,0.000000,0.000268818,0.645503,1.01698e-05,42202.5,0.0312583
/users/panastas/Data/graphs/tamu/matrices/dielFilterV3real/dielFilterV3real.mtx,64,1102824,1102824,89306020,0.925853,30.480759,1026.233234,0.000000,0.000000,CSR5,1102824,1102824,89306020,0.000000,0.000000,1.13548e-16,1.42109e-14,1.30239e-31,1.27958e-14,6.39792e-15
/users/panastas/Data/graphs/tamu/matrices/nlpkkt120/nlpkkt120.mtx,64,3542400,3542400,96845792,0.971492,25.520042,1121.825321,0.000000,0.000000,CSR5,3542400,3542400,96845792,0.000000,0.000000,9.74451e-16,2.13163e-14,4.67947e-30,1.56591e-14,7.82955e-15
/users/panastas/Data/graphs/tamu/matrices/cage15/cage15.mtx,64,5154859,5154859,99199551,0.999333,25.412024,1154.912998,0.000000,0.000000,CSR5,5154859,5154859,99199551,0.000000,0.000000,8.92795e-17,8.88178e-16,1.89499e-32,3.0394e-17,1.5197e-17
/users/panastas/Data/graphs/tamu/matrices/ML_Geer/ML_Geer.mtx,64,1504002,1504002,110879972,1.093998,25.946363,1274.657894,0.000000,0.000000,CSR5,1504002,1504002,110879972,0.000000,0.000000,8.15102e-10,1.25853e-08,1.5e-18,4.42807e-05,2.21301e-05
/users/panastas/Data/graphs/tamu/matrices/Flan_1565/Flan_1565.mtx,64,1564794,1564794,117406044,1.164537,25.809350,1349.574764,0.000000,0.000000,CSR5,1564794,1564794,117406044,0.000000,0.000000,2.28063e-10,1.32713e-08,1.55814e-19,3.51283e+06,1.18726
/users/panastas/Data/graphs/tamu/matrices/Cube_Coup_dt0/Cube_Coup_dt0.mtx,64,2164760,2164760,127206144,1.266667,25.709024,1464.016697,0.000000,0.000000,CSR5,2164760,2164760,127206144,0.000000,0.000000,1.03638e-05,0.000283108,3.78947e-10,5.08532e+06,0.155072
/users/panastas/Data/graphs/tamu/matrices/Cube_Coup_dt6/Cube_Coup_dt6.mtx,64,2164760,2164760,127206144,1.271342,25.614488,1464.016697,0.000000,0.000000,CSR5,2164760,2164760,127206144,0.000000,0.000000,1.03642e-05,0.000283108,3.7896e-10,5.08532e+06,0.15508
/users/panastas/Data/graphs/tamu/matrices/Bump_2911/Bump_2911.mtx,64,2911419,2911419,127729899,1.303238,25.090461,1472.858875,0.000000,0.000000,CSR5,2911419,2911419,127729899,0.000000,0.000000,0.000910156,63.7,0.0020466,inf,0.00219813
/users/panastas/Data/graphs/tamu/matrices/vas_stokes_4M/vas_stokes_4M.mtx,64,4382246,4382246,131577616,1.336873,25.196021,1522.503262,0.000000,0.000000,CSR5,4382246,4382246,131577616,0.000000,0.000000,9.03403e-17,1.93996e-15,1.81823e-32,inf,0.00713533
/users/panastas/Data/graphs/tamu/matrices/nlpkkt160/nlpkkt160.mtx,64,8345600,8345600,229518112,2.440360,24.077035,2658.462284,0.000000,0.000000,CSR5,8345600,8345600,229518112,0.000000,0.000000,9.62522e-16,2.13163e-14,4.53837e-30,1.57121e-14,7.85606e-15
/users/panastas/Data/graphs/tamu/matrices/HV15R/HV15R.mtx,64,2017169,2017169,283073458,2.778791,26.078540,3247.213531,0.000000,0.000000,CSR5,2017169,2017169,283073458,0.000000,0.000000,2.68674e-14,2.09184e-11,2.79311e-26,3.08362e-11,1.54181e-11
/users/panastas/Data/graphs/tamu/matrices/Queen_4147/Queen_4147.mtx,64,4147110,4147110,329499284,3.346812,25.203634,3786.640026,0.000000,0.000000,CSR5,4147110,4147110,329499284,0.000000,0.000000,0.0014548,16.8988,0.00314392,inf,0.0177342
/users/panastas/Data/graphs/tamu/matrices/stokes/stokes.mtx,64,11449533,11449533,349321980,3.986674,22.431335,4041.349312,0.000000,0.000000,CSR5,11449533,11449533,349321980,0.000000,0.000000,8.63859e-17,2.34535e-15,1.60137e-32,inf,0.0467212
