matrix_name,num_threads,csr_m,csr_n,csr_nnz,time,gflops,csr_mem_footprint,W_avg,J_estimated,format_name,m,n,nnz,mem_footprint,mem_ratio,CSRCV_NUM_PACKET_VALS,time_io_frac_avg,time_decompress_frac_avg,time_execute_frac_avg,spmv_mae,spmv_max_ae,spmv_mse,spmv_mape,spmv_smape,spmv_lnQ_error,spmv_mlare,spmv_gmare,matrix_mae,matrix_max_ae,matrix_mse,matrix_mape,matrix_smape,matrix_lnQ_error,matrix_mlare,matrix_gmare
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.001328,43.801554,528.391174,0.000000,0.000000,CSR_CV_BLOCK_ID,10203,321696,46168124,531.143150,1.005208,64,0.8181,0.0543,0.1276,1.73362e-16,1.55431e-15,6.40317e-32,2.13867e-14,1.06934e-14,2.47249e-17,-16.2447,5.69206e-17,0,0,0,0,0,0,-inf,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.001670,43.878795,528.391174,0.000000,0.000000,CSR_CV_BLOCK_ID,10203,321696,46168124,529.767227,1.002604,128,0.8666,0.0308,0.1026,2.81199e-16,9.99201e-16,1.07728e-31,3.59798e-14,1.79899e-14,1.5509e-16,-15.4472,3.57136e-16,0,0,0,0,0,0,-inf,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.000166,44.960284,528.391174,0.000000,0.000000,CSR_CV_BLOCK_ID,10203,321696,46168124,529.079269,1.001302,256,0.8879,0.0214,0.0907,3.62738e-16,1.33227e-15,1.63943e-31,4.61398e-14,2.30699e-14,-1.99582e-16,-15.3377,4.59539e-16,0,0,0,0,0,0,-inf,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.001386,45.182140,528.391174,0.000000,0.000000,CSR_CV_BLOCK_ID,10203,321696,46168124,528.735291,1.000651,512,0.8919,0.0176,0.0905,1.26413e-15,2.44249e-15,1.79573e-30,1.60316e-13,8.01579e-14,-6.95486e-16,-14.7955,1.60142e-15,0,0,0,0,0,0,-inf,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.001155,45.930411,528.391174,0.000000,0.000000,CSR_CV_BLOCK_ID,10203,321696,46168124,528.563278,1.000326,1024,0.8919,0.0174,0.0908,9.40004e-16,3.55271e-15,1.10558e-30,1.15993e-13,5.79964e-14,4.69183e-16,-14.9665,1.0803e-15,0,0,0,0,0,0,-inf,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.000008,46.629451,528.391174,0.000000,0.000000,CSR_CV_BLOCK_ID,10203,321696,46168124,528.477291,1.000163,2048,0.8842,0.0243,0.0914,4.14352e-15,7.99361e-15,2.00819e-29,5.06684e-13,2.53342e-13,2.18273e-15,-14.2988,5.02593e-15,0,0,0,0,0,0,-inf,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.000196,46.436041,528.391174,0.000000,0.000000,CSR_CV_BLOCK_ID,10203,321696,46168124,528.434296,1.000082,4096,0.8818,0.0293,0.0890,3.46048e-15,1.25455e-14,1.61532e-29,4.44697e-13,2.22349e-13,6.56092e-16,-14.8208,1.51073e-15,0,0,0,0,0,0,-inf,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.000007,46.537144,528.391174,0.000000,0.000000,CSR_CV_BLOCK_ID,10203,321696,46168124,528.412807,1.000041,8192,0.8705,0.0291,0.1004,7.36675e-15,2.34257e-14,9.03585e-29,8.65715e-13,4.32857e-13,-2.02788e-15,-14.3307,4.66939e-15,0,0,0,0,0,0,-inf,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.000221,45.880991,528.391174,0.000000,0.000000,CSR_CV_BLOCK_ID,10203,321696,46168124,528.402065,1.000021,16384,0.8007,0.0360,0.1633,9.32655e-15,2.34257e-14,1.33225e-28,1.07664e-12,5.38319e-13,-3.40236e-15,-14.106,7.83423e-15,0,0,0,0,0,0,-inf,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.001574,43.975183,528.391174,0.000000,0.000000,CSR_CV_BLOCK_ID,10203,321696,46168124,528.396694,1.000010,32768,0.7248,0.0806,0.1947,1.02945e-14,2.34257e-14,1.5449e-28,1.18103e-12,5.90513e-13,-4.06758e-15,-14.0284,9.36593e-15,0,0,0,0,0,0,-inf,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.001851,40.184231,528.391174,0.000000,0.000000,CSR_CV_BLOCK_ID,10203,321696,46168124,528.394009,1.000005,65536,0.7094,0.1037,0.1869,1.07664e-14,2.34257e-14,1.64811e-28,1.23198e-12,6.15989e-13,-4.399e-15,-13.9944,1.01291e-14,0,0,0,0,0,0,-inf,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.001041,36.896087,528.391174,0.000000,0.000000,CSR_CV_BLOCK_ID,10203,321696,46168124,528.392639,1.000003,131072,0.7485,0.0905,0.1610,1.10048e-14,2.34257e-14,1.7001e-28,1.25797e-12,6.28983e-13,-4.56422e-15,-13.9784,1.05095e-14,0,0,0,0,0,0,-inf,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.000711,28.880718,528.391174,0.000000,0.000000,CSR_CV_BLOCK_ID,10203,321696,46168124,528.391907,1.000001,262144,0.6371,0.2046,0.1582,1.11325e-14,2.34257e-14,1.72728e-28,1.27186e-12,6.35931e-13,-4.6573e-15,-13.9696,1.07238e-14,0,0,0,0,0,0,-inf,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.004071,17.380799,528.391174,0.000000,0.000000,CSR_CV_BLOCK_ID,10203,321696,46168124,528.391663,1.000001,524288,0.5185,0.2903,0.1912,1.11764e-14,2.34257e-14,1.7365e-28,1.27673e-12,6.38365e-13,-4.68635e-15,-13.9669,1.07907e-14,0,0,0,0,0,0,-inf,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.000533,13.012476,528.391174,0.000000,0.000000,CSR_CV_BLOCK_ID,10203,321696,46168124,528.391418,1.000000,1048576,0.4973,0.3341,0.1686,1.12343e-14,2.34257e-14,1.75034e-28,1.28269e-12,6.41347e-13,-4.71722e-15,-13.9641,1.08618e-14,0,0,0,0,0,0,-inf,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.003956,13.060087,528.391174,0.000000,0.000000,CSR_CV_BLOCK_ID,10203,321696,46168124,528.391418,1.000000,2097152,0.4931,0.3308,0.1761,1.12343e-14,2.34257e-14,1.75034e-28,1.28269e-12,6.41347e-13,-4.71722e-15,-13.9641,1.08618e-14,0,0,0,0,0,0,-inf,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.000206,13.016733,528.391174,0.000000,0.000000,CSR_CV_BLOCK_ID,10203,321696,46168124,528.391418,1.000000,4194304,0.4989,0.3313,0.1697,1.12343e-14,2.34257e-14,1.75034e-28,1.28269e-12,6.41347e-13,-4.71722e-15,-13.9641,1.08618e-14,0,0,0,0,0,0,-inf,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.006546,13.026476,528.391174,0.000000,0.000000,CSR_CV_BLOCK_ID,10203,321696,46168124,528.391418,1.000000,8388608,0.4970,0.3355,0.1675,1.12343e-14,2.34257e-14,1.75034e-28,1.28269e-12,6.41347e-13,-4.71722e-15,-13.9641,1.08618e-14,0,0,0,0,0,0,-inf,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.006398,13.028396,528.391174,0.000000,0.000000,CSR_CV_BLOCK_ID,10203,321696,46168124,528.391418,1.000000,16777216,0.5044,0.3309,0.1648,1.12343e-14,2.34257e-14,1.75034e-28,1.28269e-12,6.41347e-13,-4.71722e-15,-13.9641,1.08618e-14,0,0,0,0,0,0,-inf,0
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.001567,38.367459,536.039845,0.000000,0.000000,CSR_CV_BLOCK_ID,952203,952203,46522475,538.812927,1.005173,64,0.8044,0.0540,0.1416,1.01247e-10,4.47035e-08,2.62717e-19,8.53556e-12,4.26778e-12,2.26393e-15,-14.2829,5.21284e-15,0,0,0,0,0,0,-inf,0
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.000872,40.997055,536.039845,0.000000,0.000000,CSR_CV_BLOCK_ID,952203,952203,46522475,537.426453,1.002587,128,0.8579,0.0315,0.1106,1.02838e-10,4.47035e-08,2.62738e-19,8.65186e-12,4.32593e-12,1.69504e-15,-14.4086,3.90302e-15,0,0,0,0,0,0,-inf,0
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.002074,39.183713,536.039845,0.000000,0.000000,CSR_CV_BLOCK_ID,952203,952203,46522475,536.733204,1.001293,256,0.8827,0.0216,0.0957,1.03814e-10,4.47035e-08,2.60539e-19,8.71329e-12,4.35664e-12,1.16746e-15,-14.5705,2.68817e-15,0,0,0,0,0,0,-inf,0
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.000831,40.719850,536.039845,0.000000,0.000000,CSR_CV_BLOCK_ID,952203,952203,46522475,536.386524,1.000647,512,0.8940,0.0179,0.0881,1.04438e-10,4.47035e-08,2.62368e-19,8.34175e-12,4.17088e-12,-4.05818e-16,-15.0295,9.3442e-16,0,0,0,0,0,0,-inf,0
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.000263,41.394124,536.039845,0.000000,0.000000,CSR_CV_BLOCK_ID,952203,952203,46522475,536.213184,1.000323,1024,0.8954,0.0170,0.0876,1.04809e-10,4.47035e-08,2.64206e-19,8.25978e-12,4.12989e-12,1.46187e-17,-16.4735,3.36103e-17,0,0,0,0,0,0,-inf,0
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.001006,40.340905,536.039845,0.000000,0.000000,CSR_CV_BLOCK_ID,952203,952203,46522475,536.126514,1.000162,2048,0.8892,0.0236,0.0872,1.05042e-10,4.47035e-08,2.66055e-19,8.22474e-12,4.11237e-12,-1.22308e-16,-15.5503,2.81622e-16,0,0,0,0,0,0,-inf,0
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.000274,40.370448,536.039845,0.000000,0.000000,CSR_CV_BLOCK_ID,952203,952203,46522475,536.083302,1.000081,4096,0.8843,0.0293,0.0864,1.05028e-10,4.47035e-08,2.6556e-19,8.22176e-12,4.11088e-12,-2.17605e-16,-15.3001,5.01064e-16,0,0,0,0,0,0,-inf,0
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.000403,41.574349,536.039845,0.000000,0.000000,CSR_CV_BLOCK_ID,952203,952203,46522475,536.061573,1.000041,8192,0.8855,0.0296,0.0850,1.05013e-10,4.47035e-08,2.6536e-19,8.21659e-12,4.10829e-12,-1.85784e-16,-15.3688,4.27772e-16,0,0,0,0,0,0,-inf,0
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.001556,40.318757,536.039845,0.000000,0.000000,CSR_CV_BLOCK_ID,952203,952203,46522475,536.050831,1.000020,16384,0.8863,0.0308,0.0830,1.04977e-10,4.47035e-08,2.64835e-19,8.213e-12,4.1065e-12,-2.1475e-16,-15.3058,4.94505e-16,0,0,0,0,0,0,-inf,0
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.000365,39.436663,536.039845,0.000000,0.000000,CSR_CV_BLOCK_ID,952203,952203,46522475,536.045460,1.000010,32768,0.8312,0.0686,0.1002,1.04965e-10,4.47035e-08,2.6471e-19,8.213e-12,4.1065e-12,-2.11167e-16,-15.3132,4.8621e-16,0,0,0,0,0,0,-inf,0
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.001717,37.525729,536.039845,0.000000,0.000000,CSR_CV_BLOCK_ID,952203,952203,46522475,536.042774,1.000005,65536,0.7891,0.1024,0.1085,1.04963e-10,4.47035e-08,2.64731e-19,8.2138e-12,4.1069e-12,-1.91163e-16,-15.3564,4.40186e-16,0,0,0,0,0,0,-inf,0
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.002531,33.782849,536.039845,0.000000,0.000000,CSR_CV_BLOCK_ID,952203,952203,46522475,536.041309,1.000003,131072,0.8287,0.0810,0.0903,1.04968e-10,4.47035e-08,2.64733e-19,8.21377e-12,4.10689e-12,-1.91043e-16,-15.3566,4.39915e-16,0,0,0,0,0,0,-inf,0
