matrix_name,num_threads,csr_m,csr_n,csr_nnz,time,gflops,csr_mem_footprint,W_avg,J_estimated,format_name,m,n,nnz,mem_footprint,mem_ratio,spmv_mae,spmv_max_ae,spmv_mse,spmv_mape,spmv_smape,spmv_lnQ_error,spmv_mlare,spmv_gmare
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.001550,51.443901,528.391174,0.000000,0.000000,Custom_CSR_BV_LUT_x86,10203,321696,46168124,219.322403,0.415076,1.12279e-14,2.34257e-14,1.74835e-28,1.28195e-12,6.40977e-13,-4.71375e-15,-13.9644,1.08538e-14
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,3.177201,3.748505,536.039845,0.000000,0.000000,Custom_CSR_BV_LUT_x86,952203,952203,46522475,511.837292,0.954849,1.02665e-10,2.98023e-08,2.55826e-19,8.26827e-12,4.13413e-12,1.57441e-15,-14.4407,3.62525e-15
/users/panastas/Data/graphs/tamu/matrices/dielFilterV2real/dielFilterV2real.mtx,64,1157456,1157456,48538952,4.374762,2.840376,559.899570,0.000000,0.000000,Custom_CSR_BV_LUT_x86,1157456,1157456,48538952,568.730259,1.015772,4.07577e-16,2.84217e-14,1.29424e-30,1.41625e-13,7.08125e-14,-4.49403e-18,-16.9849,1.03541e-17
/users/panastas/Data/graphs/tamu/matrices/nv2/nv2.mtx,64,1453908,1453908,52728362,2.112336,6.390300,608.974438,0.000000,0.000000,Custom_CSR_BV_LUT_x86,1453908,1453908,52728362,413.374523,0.678804,21.4339,57344.1,221061,14.1376,0.00501587,-4.09671e-05,-4.02537,9.43258e-05
/users/panastas/Data/graphs/tamu/matrices/af_shell10/af_shell10.mtx,64,1508065,1508065,52672325,1.343859,10.033880,608.539738,0.000000,0.000000,Custom_CSR_BV_LUT_x86,1508065,1508065,52672325,372.848339,0.612693,1.8252e-11,2.28908e-10,8.44411e-22,0.00227447,0.000275518,1.67104e-06,-5.4148,3.84772e-06
/users/panastas/Data/graphs/tamu/matrices/boneS10/boneS10.mtx,64,914898,914898,55468422,1.000526,164.100289,638.275776,0.000000,0.000000,Custom_CSR_BV_LUT_x86,914898,914898,55468422,215.085911,0.336980,7.25987e-13,5.21538e-12,1.16886e-24,2.23377e-07,1.11689e-07,1.42933e-10,-9.48265,3.29114e-10
/users/panastas/Data/graphs/tamu/matrices/circuit5M/circuit5M.mtx,64,5558326,5558326,59524291,1.001042,69.927719,702.404785,0.000000,0.000000,Custom_CSR_BV_LUT_x86,5558326,5558326,59524291,248.922890,0.354387,1.25561e-16,9.82737e-11,7.35924e-27,14.4566,5.1233,0.0230109,-1.26429,0.0544134
/users/panastas/Data/graphs/tamu/matrices/Hook_1498/Hook_1498.mtx,64,1498023,1498023,60917445,1.607129,9.703554,702.859341,0.000000,0.000000,Custom_CSR_BV_LUT_x86,1498023,1498023,60917445,418.142719,0.594917,3.30509e-12,4.48175e-11,2.1132e-23,3.45945,0.074788,-0.000204977,-3.32618,0.000471867
/users/panastas/Data/graphs/tamu/matrices/Geo_1438/Geo_1438.mtx,64,1437960,1437960,63156690,4.895969,3.302331,728.256344,0.000000,0.000000,Custom_CSR_BV_LUT_x86,1437960,1437960,63156690,693.608395,0.952423,6.65191e-06,0.00121322,3.37483e-10,4.21219e+08,0.190038,0.00115562,-2.57439,0.00266445
/users/panastas/Data/graphs/tamu/matrices/Serena/Serena.mtx,64,1391349,1391349,64531701,5.807708,2.844515,743.814289,0.000000,0.000000,Custom_CSR_BV_LUT_x86,1391349,1391349,64531701,750.987988,1.009644,5.65536e-06,0.00195312,2.4744e-10,9.87811e+06,0.000788002,1.75822e-05,-4.3927,4.04853e-05
/users/panastas/Data/graphs/tamu/matrices/vas_stokes_2M/vas_stokes_2M.mtx,64,2146677,2146677,65129037,1.001859,48.756130,753.531605,0.000000,0.000000,Custom_CSR_BV_LUT_x86,2146677,2146677,65129037,279.140575,0.370443,8.23148e-17,6.36276e-15,1.80703e-32,13.4673,12.9711,-5.32605e-05,-3.91141,0.000122629
/users/panastas/Data/graphs/tamu/matrices/bone010/bone010.mtx,64,986703,986703,71666325,1.000215,156.628886,823.919979,0.000000,0.000000,Custom_CSR_BV_LUT_x86,986703,986703,71666325,277.149891,0.336380,5.56514e-13,4.7109e-12,7.19166e-25,1.42867e-07,7.14335e-08,-3.33776e-11,-10.1143,7.68548e-11
/users/panastas/Data/graphs/tamu/matrices/audikw_1/audikw_1.mtx,64,943695,943695,77651847,7.837102,2.536508,892.254780,0.000000,0.000000,Custom_CSR_BV_LUT_x86,943695,943695,77651847,864.753170,0.969177,3.52784e-10,1.90735e-06,3.322e-17,7.63434e-09,3.81709e-09,2.6315e-11,-10.2176,6.05926e-11
/users/panastas/Data/graphs/tamu/matrices/Long_Coup_dt0/Long_Coup_dt0.mtx,64,1470152,1470152,87088992,7.211500,3.091560,1002.262608,0.000000,0.000000,Custom_CSR_BV_LUT_x86,1470152,1470152,87088992,887.803562,0.885799,2.46564e-05,0.37,6.31862e-07,820.893,0.00306905,-8.34128e-05,-3.71659,0.000192047
