matrix_name,num_threads,csr_m,csr_n,csr_nnz,time,gflops,csr_mem_footprint,W_avg,J_estimated,format_name,m,n,nnz,mem_footprint,mem_ratio,spmv_mae,spmv_max_ae,spmv_mse,spmv_mape,spmv_smape,spmv_lnQ_error,spmv_mlare,spmv_gmare
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.000178,47.913965,528.391174,0.000000,0.000000,MERGE,10203,321696,46168124,528.391174,1.000000,4.46736e-14,9.34808e-14,2.77181e-27,5.10196e-12,2.55098e-12,1.86695e-14,-13.3667,4.2988e-14
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.000429,42.131269,536.039845,0.000000,0.000000,MERGE,952203,952203,46522475,536.039845,1.000000,1.88942e-10,7.45058e-08,1.0164e-18,1.02303e-11,5.11513e-12,-2.41286e-15,-14.2553,5.55583e-15
/users/panastas/Data/graphs/tamu/matrices/dielFilterV2real/dielFilterV2real.mtx,64,1157456,1157456,48538952,1.000412,41.338173,559.899570,0.000000,0.000000,MERGE,1157456,1157456,48538952,559.899570,1.000000,4.58878e-16,4.26326e-14,1.89705e-30,9.07565e-14,4.53783e-14,-2.25253e-17,-16.285,5.18791e-17
/users/panastas/Data/graphs/tamu/matrices/nv2/nv2.mtx,64,1453908,1453908,52728362,1.000297,38.691112,608.974438,0.000000,0.000000,MERGE,1453908,1453908,52728362,608.974438,1.000000,8.25656,36864,56329.3,2.28367,0.000891498,-1.7269e-05,-4.40053,3.97626e-05
/users/panastas/Data/graphs/tamu/matrices/af_shell10/af_shell10.mtx,64,1508065,1508065,52672325,1.002705,37.716704,608.539738,0.000000,0.000000,MERGE,1508065,1508065,52672325,608.539738,1.000000,2.0226e-11,2.34077e-10,1.04498e-21,0.00249799,0.000266393,2.06678e-06,-5.32249,4.75895e-06
/users/panastas/Data/graphs/tamu/matrices/boneS10/boneS10.mtx,64,914898,914898,55468422,1.000705,38.911397,638.275776,0.000000,0.000000,MERGE,914898,914898,55468422,638.275776,1.000000,1.01822e-12,8.65441e-12,2.0677e-24,3.16547e-07,1.58274e-07,3.32619e-10,-9.11584,7.65883e-10
/users/panastas/Data/graphs/tamu/matrices/circuit5M/circuit5M.mtx,64,5558326,5558326,59524291,1.000591,30.101490,702.404785,0.000000,0.000000,MERGE,5558326,5558326,59524291,702.404785,1.000000,8.22032e-18,5.08861e-12,2.08794e-29,0.0670978,0.0134916,0.000108092,-3.60394,0.000248922
/users/panastas/Data/graphs/tamu/matrices/Hook_1498/Hook_1498.mtx,64,1498023,1498023,60917445,1.000238,35.810927,702.859341,0.000000,0.000000,MERGE,1498023,1498023,60917445,702.859341,1.000000,2.94952e-12,6.24709e-11,1.60641e-23,3.74985,0.0690398,0.000229828,-3.27627,0.000529339
/users/panastas/Data/graphs/tamu/matrices/Geo_1438/Geo_1438.mtx,64,1437960,1437960,63156690,1.000030,35.114057,728.256344,0.000000,0.000000,MERGE,1437960,1437960,63156690,728.256344,1.000000,5.17303e-06,0.000575855,1.82682e-10,4.64744e+08,0.183355,0.00202139,-2.33112,0.00466526
/users/panastas/Data/graphs/tamu/matrices/Serena/Serena.mtx,64,1391349,1391349,64531701,1.000184,35.356869,743.814289,0.000000,0.000000,MERGE,1391349,1391349,64531701,743.814289,1.000000,4.35379e-06,0.00390625,1.9304e-10,3.70429e+06,0.000668931,4.38228e-07,-5.99608,1.00906e-06
