matrix_name,num_threads,csr_m,csr_n,csr_nnz,time,gflops,csr_mem_footprint,W_avg,J_estimated,format_name,m,n,nnz,mem_footprint,mem_ratio,spmv_mae,spmv_max_ae,spmv_mse,spmv_mape,spmv_smape,spmv_lnQ_error,spmv_mlare,spmv_gmare
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.001734,47.839571,528.391174,0.000000,0.000000,MKL_IE,10203,321696,46168124,528.391174,1.000000,2.3051e-14,4.24105e-14,6.43317e-28,2.73211e-12,1.36606e-12,-1.16448e-14,-13.5717,2.68131e-14
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.001175,41.635220,536.039845,0.000000,0.000000,MKL_IE,952203,952203,46522475,536.039845,1.000000,1.46656e-10,5.96046e-08,5.14523e-19,1.00061e-11,5.00306e-12,-4.96928e-15,-13.9415,1.14422e-14
/users/panastas/Data/graphs/tamu/matrices/dielFilterV2real/dielFilterV2real.mtx,64,1157456,1157456,48538952,1.002279,40.680007,559.899570,0.000000,0.000000,MKL_IE,1157456,1157456,48538952,559.899570,1.000000,3.65252e-16,3.55271e-14,1.04716e-30,1.32991e-13,6.64955e-14,1.40917e-17,-16.4892,3.24176e-17
/users/panastas/Data/graphs/tamu/matrices/nv2/nv2.mtx,64,1453908,1453908,52728362,1.001052,39.188663,608.974438,0.000000,0.000000,MKL_IE,1453908,1453908,52728362,608.974438,1.000000,19.5941,79871.9,196130,10.2134,0.00582561,-0.000675977,-2.80819,0.00155528
/users/panastas/Data/graphs/tamu/matrices/af_shell10/af_shell10.mtx,64,1508065,1508065,52672325,1.002504,38.564919,608.539738,0.000000,0.000000,MKL_IE,1508065,1508065,52672325,608.539738,1.000000,2.33415e-11,3.50752e-10,1.462e-21,0.00315567,0.000257272,1.57297e-06,-5.44106,3.62191e-06
/users/panastas/Data/graphs/tamu/matrices/boneS10/boneS10.mtx,64,914898,914898,55468422,1.001233,39.555691,638.275776,0.000000,0.000000,MKL_IE,914898,914898,55468422,638.275776,1.000000,1.94863e-12,7.43938e-12,6.67222e-24,4.64698e-07,2.32349e-07,5.55014e-10,-8.89348,1.27797e-09
/users/panastas/Data/graphs/tamu/matrices/circuit5M/circuit5M.mtx,64,5558326,5558326,59524291,1.003044,31.452125,702.404785,0.000000,0.000000,MKL_IE,5558326,5558326,59524291,702.404785,1.000000,1.11208e-16,7.86015e-11,6.49927e-27,8.88848,5.00661,0.00968285,-1.64693,0.022546
/users/panastas/Data/graphs/tamu/matrices/Hook_1498/Hook_1498.mtx,64,1498023,1498023,60917445,1.003098,36.559059,702.859341,0.000000,0.000000,MKL_IE,1498023,1498023,60917445,702.859341,1.000000,3.74892e-12,8.25935e-11,2.64945e-23,5.92753,0.0759597,0.000142395,-3.48422,0.000327931
/users/panastas/Data/graphs/tamu/matrices/Geo_1438/Geo_1438.mtx,64,1437960,1437960,63156690,1.002938,35.516020,728.256344,0.000000,0.000000,MKL_IE,1437960,1437960,63156690,728.256344,1.000000,6.98704e-06,0.00191407,3.58154e-10,4.17446e+08,0.188195,0.00104816,-2.61683,0.0024164
/users/panastas/Data/graphs/tamu/matrices/Serena/Serena.mtx,64,1391349,1391349,64531701,1.001992,35.679501,743.814289,0.000000,0.000000,MKL_IE,1391349,1391349,64531701,743.814289,1.000000,6.00902e-06,0.00390625,3.05907e-10,1.00325e+06,0.000699912,-1.21432e-05,-4.55346,2.79603e-05
