matrix_name,num_threads,csr_m,csr_n,csr_nnz,time,gflops,csr_mem_footprint,format_name,prefer_fsc,size_cutoff,col_threshold,SpMV Base,SpMV DDT Parallel Executor,SpMV DDT Parallel gflops,SPMV Analysis
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,0.00517101,17.8565,5.54058e+08,LCM,0,4,8,0.0408164,0.00517101,17.8565,1.08711
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,0.00170772,54.4848,5.62079e+08,LCM,0,4,8,0.0306768,0.00170772,54.4848,0.531854
/users/panastas/Data/graphs/tamu/matrices/dielFilterV2real/dielFilterV2real.mtx,64,1157456,1157456,48538952,0.00447244,21.7058,5.87097e+08,LCM,0,4,8,0.0322102,0.00447244,21.7058,1.31918
/users/panastas/Data/graphs/tamu/matrices/nv2/nv2.mtx,64,1453908,1453908,52728362,0.00564065,18.6958,6.38556e+08,LCM,0,4,8,0.0530944,0.00564065,18.6958,1.37323
/users/panastas/Data/graphs/tamu/matrices/af_shell10/af_shell10.mtx,64,1508065,1508065,52672325,0.00209022,50.3988,6.381e+08,LCM,0,4,8,0.0317086,0.00209022,50.3988,0.555415
/users/panastas/Data/graphs/tamu/matrices/boneS10/boneS10.mtx,64,914898,914898,55468422,0.00243116,45.6312,6.69281e+08,LCM,0,4,8,0.0367168,0.00243116,45.6312,0.673482
/users/panastas/Data/graphs/tamu/matrices/circuit5M/circuit5M.mtx,64,5558326,5558326,59524291,0.0576676,2.06439,7.36525e+08,LCM,0,4,8,0.0445003,0.0576676,2.06439,1.43181
/users/panastas/Data/graphs/tamu/matrices/Hook_1498/Hook_1498.mtx,64,1498023,1498023,60917445,0.00301289,40.4378,7.37001e+08,LCM,0,4,8,0.0410247,0.00301289,40.4378,0.881515
/users/panastas/Data/graphs/tamu/matrices/Geo_1438/Geo_1438.mtx,64,1437960,1437960,63156690,0.00323785,39.0115,7.63632e+08,LCM,0,4,8,0.0412743,0.00323785,39.0115,0.850041
/users/panastas/Data/graphs/tamu/matrices/Serena/Serena.mtx,64,1391349,1391349,64531701,0.00331309,38.9556,7.79946e+08,LCM,0,4,8,0.0440885,0.00331309,38.9556,0.915102
/users/panastas/Data/graphs/tamu/matrices/vas_stokes_2M/vas_stokes_2M.mtx,64,2146677,2146677,65129037,0.0069035,18.8684,7.90135e+08,LCM,0,4,8,0.0429259,0.0069035,18.8684,1.27272
/users/panastas/Data/graphs/tamu/matrices/bone010/bone010.mtx,64,986703,986703,71666325,0.00359133,39.9107,8.63943e+08,LCM,0,4,8,0.0468947,0.00359133,39.9107,0.749802
/users/panastas/Data/graphs/tamu/matrices/audikw_1/audikw_1.mtx,64,943695,943695,77651847,0.00429386,36.1688,9.35597e+08,LCM,0,4,8,0.0556253,0.00429386,36.1688,0.886705
/users/panastas/Data/graphs/tamu/matrices/Long_Coup_dt0/Long_Coup_dt0.mtx,64,1470152,1470152,87088992,0.00438097,39.7578,1.05095e+09,LCM,0,4,8,0.0588481,0.00438097,39.7578,0.947184
