matrix_name,num_threads,csr_m,csr_n,csr_nnz,time,gflops,csr_mem_footprint,format_name,prefer_fsc,size_cutoff,col_threshold,SpMV Base,SpMV DDT Parallel Executor,SpMV DDT Parallel gflops,SPMV Analysis
/users/panastas/Data/graphs/tamu/matrices/ts-palko/ts-palko.mtx,64,22002,47235,1076903,7.0186e-05,30.6871,1.30108e+07,LCM,0,4,8,0.000728301,7.0186e-05,30.6871,0.0462745
/users/panastas/Data/graphs/tamu/matrices/neos/neos.mtx,64,479119,515905,1526794,0.000353195,8.64562,2.0238e+07,LCM,0,4,8,0.00115186,0.000353195,8.64562,0.0770168
/users/panastas/Data/graphs/tamu/matrices/stat96v3/stat96v3.mtx,64,33841,1113780,3317736,0.000345169,19.2238,3.99482e+07,LCM,0,4,8,0.00236808,0.000345169,19.2238,0.069252
/users/panastas/Data/graphs/tamu/matrices/stormG2_1000/stormG2_1000.mtx,64,528185,1377306,3459881,0.000591246,11.7037,4.36313e+07,LCM,0,4,8,0.00219336,0.000591246,11.7037,0.106935
/users/panastas/Data/graphs/tamu/matrices/xenon2/xenon2.mtx,64,157464,157464,3866688,0.000160401,48.2128,4.70301e+07,LCM,0,4,8,0.00237564,0.000160401,48.2128,0.0688037
/users/panastas/Data/graphs/tamu/matrices/s3dkq4m2/s3dkq4m2.mtx,64,90449,90449,4820891,0.000123409,78.1287,5.82125e+07,LCM,0,4,8,0.00304482,0.000123409,78.1287,0.0629767
/users/panastas/Data/graphs/tamu/matrices/apache2/apache2.mtx,64,715176,715176,4817870,0.000440043,21.8973,6.06751e+07,LCM,0,4,8,0.0029686,0.000440043,21.8973,0.0739284
/users/panastas/Data/graphs/tamu/matrices/Si34H36/Si34H36.mtx,64,97569,97569,5156379,0.000248922,41.4297,6.22668e+07,LCM,0,4,8,0.00372184,0.000248922,41.4297,0.129435
/users/panastas/Data/graphs/tamu/matrices/ecology2/ecology2.mtx,64,999999,999999,4995991,0.00127349,7.84615,6.39519e+07,LCM,0,4,8,0.00321084,0.00127349,7.84615,0.165475
/users/panastas/Data/graphs/tamu/matrices/largebasis/largebasis.mtx,64,440020,440020,5560100,0.000491623,22.6194,6.84813e+07,LCM,0,4,8,0.00311229,0.000491623,22.6194,0.140271
/users/panastas/Data/graphs/tamu/matrices/Goodwin_127/Goodwin_127.mtx,64,178437,178437,5778545,0.000230216,50.2011,7.00563e+07,LCM,0,4,8,0.0037806,0.000230216,50.2011,0.129369
/users/panastas/Data/graphs/tamu/matrices/Hamrle3/Hamrle3.mtx,64,1447360,1447360,5514242,0.00247928,4.44825,7.19603e+07,LCM,0,4,8,0.00379718,0.00247928,4.44825,0.213331
/users/panastas/Data/graphs/tamu/matrices/boneS01/boneS01.mtx,64,127224,127224,6715152,0.000204105,65.801,8.10907e+07,LCM,0,4,8,0.00445328,0.000204105,65.801,0.110886
/users/panastas/Data/graphs/tamu/matrices/cont1_l/cont1_l.mtx,64,1918399,1921596,7031999,0.00269273,5.22296,9.20576e+07,LCM,0,4,8,0.00465399,0.00269273,5.22296,0.275054
/users/panastas/Data/graphs/tamu/matrices/CO/CO.mtx,64,221119,221119,7666057,0.00041794,36.685,9.28772e+07,LCM,0,4,8,0.00483261,0.00041794,36.685,0.195361
/users/panastas/Data/graphs/tamu/matrices/G3_circuit/G3_circuit.mtx,64,1585478,1585478,7660826,0.00167224,9.16235,9.82718e+07,LCM,0,4,8,0.00529908,0.00167224,9.16235,0.241894
/users/panastas/Data/graphs/tamu/matrices/degme/degme.mtx,64,185501,659415,8127528,0.00121408,13.3888,9.82723e+07,LCM,0,4,8,0.00615509,0.00121408,13.3888,0.269801
/users/panastas/Data/graphs/tamu/matrices/atmosmodl/atmosmodl.mtx,64,1489752,1489752,10319760,0.00134931,15.2964,1.29796e+08,LCM,0,4,8,0.00650485,0.00134931,15.2964,0.150359
/users/panastas/Data/graphs/tamu/matrices/SiO2/SiO2.mtx,64,155331,155331,11283503,0.000373704,60.3874,1.36023e+08,LCM,0,4,8,0.00868906,0.000373704,60.3874,0.212625
/users/panastas/Data/graphs/tamu/matrices/tp-6/tp-6.mtx,64,142752,1014301,11537419,0.00812189,2.84107,1.3902e+08,LCM,0,4,8,0.00886722,0.00812189,2.84107,0.297021
/users/panastas/Data/graphs/tamu/matrices/af_shell3/af_shell3.mtx,64,504855,504855,17588875,0.000460272,76.4282,2.13086e+08,LCM,0,4,8,0.0104925,0.000460272,76.4282,0.228255
/users/panastas/Data/graphs/tamu/matrices/circuit5M_dc/circuit5M_dc.mtx,64,3523317,3523317,19194193,0.015174,2.52989,2.44424e+08,LCM,0,4,8,0.01416,0.015174,2.52989,0.590225
/users/panastas/Data/graphs/tamu/matrices/rajat31/rajat31.mtx,64,4690002,4690002,20316253,0.018144,2.23945,2.62555e+08,LCM,0,4,8,0.0179329,0.018144,2.23945,0.687973
/users/panastas/Data/graphs/tamu/matrices/CurlCurl_4/CurlCurl_4.mtx,64,2380515,2380515,26515867,0.0115135,4.60604,3.27712e+08,LCM,0,4,8,0.0152682,0.0115135,4.60604,0.606233
/users/panastas/Data/graphs/tamu/matrices/cage14/cage14.mtx,64,1505785,1505785,27130349,0.0112775,4.81143,3.31587e+08,LCM,0,4,8,0.0168854,0.0112775,4.81143,0.745127
/users/panastas/Data/graphs/tamu/matrices/nlpkkt80/nlpkkt80.mtx,64,1062400,1062400,28704672,0.00106381,53.9657,3.48706e+08,LCM,0,4,8,0.0161254,0.00106381,53.9657,0.303613
/users/panastas/Data/graphs/tamu/matrices/ss/ss.mtx,64,1652680,1652680,34753577,0.0125021,5.55963,4.23654e+08,LCM,0,4,8,0.0206265,0.0125021,5.55963,0.838677
/users/panastas/Data/graphs/tamu/matrices/boneS10/boneS10.mtx,64,914898,914898,55468422,0.00899612,12.3316,6.69281e+08,LCM,0,4,8,0.0361856,0.00899612,12.3316,0.755663
