matrix_name,num_threads,csr_m,csr_n,csr_nnz,time,gflops,csr_mem_footprint,W_avg,J_estimated,format_name,m,n,nnz,mem_footprint,mem_ratio,spmv_mae,spmv_max_ae,spmv_mse,spmv_mape,spmv_smape,matrix_mae,matrix_max_ae,matrix_mse,matrix_mape,matrix_smape
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,0.951175,45.043243,528.391174,0.000000,0.000000,MKL_IE,10203,321696,46168124,528.391174,1.000000,2.3092e-14,4.26326e-14,6.45596e-28,2.73687e-12,1.36843e-12,0.0,0.0,0.0,0.0,0.0
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,0.962563,39.438812,536.039845,0.000000,0.000000,MKL_IE,952203,952203,46522475,536.039845,1.000000,1.39996e-10,5.96046e-08,4.99829e-19,8.92129e-12,4.46065e-12,0.0,0.0,0.0,0.0,0.0
/users/panastas/Data/graphs/tamu/matrices/dielFilterV2real/dielFilterV2real.mtx,64,1157456,1157456,48538952,0.924510,37.906681,559.899570,0.000000,0.000000,MKL_IE,1157456,1157456,48538952,559.899570,1.000000,4.85701e-16,5.55112e-14,1.98347e-30,9.32502e-14,4.66251e-14,0.0,0.0,0.0,0.0,0.0
/users/panastas/Data/graphs/tamu/matrices/nv2/nv2.mtx,64,1453908,1453908,52728362,0.957547,35.022031,608.974438,0.000000,0.000000,MKL_IE,1453908,1453908,52728362,608.974438,1.000000,20.4634,67583.9,234896,0.0157319,0.00538891,0.0,0.0,0.0,0.0,0.0
/users/panastas/Data/graphs/tamu/matrices/af_shell10/af_shell10.mtx,64,1508065,1508065,52672325,0.964043,37.153101,608.539738,0.000000,0.000000,MKL_IE,1508065,1508065,52672325,608.539738,1.000000,2.02023e-11,2.8119e-10,1.06771e-21,0.00388917,0.000282733,0.0,0.0,0.0,0.0,0.0
/users/panastas/Data/graphs/tamu/matrices/boneS10/boneS10.mtx,64,914898,914898,55468422,0.953251,37.589871,638.275776,0.000000,0.000000,MKL_IE,914898,914898,55468422,638.275776,1.000000,1.17601e-12,8.29914e-12,2.84073e-24,3.40851e-07,1.70426e-07,0.0,0.0,0.0,0.0,0.0
/users/panastas/Data/graphs/tamu/matrices/circuit5M/circuit5M.mtx,64,5558326,5558326,59524291,0.947979,21.725603,702.404785,0.000000,0.000000,MKL_IE,5558326,5558326,59524291,702.404785,1.000000,3.40149e-16,2.33193e-10,5.84735e-26,102.398,5.40032,0.0,0.0,0.0,0.0,0.0
/users/panastas/Data/graphs/tamu/matrices/Hook_1498/Hook_1498.mtx,64,1498023,1498023,60917445,0.950615,36.014159,702.859341,0.000000,0.000000,MKL_IE,1498023,1498023,60917445,702.859341,1.000000,3.67107e-12,7.4948e-11,2.77669e-23,inf,0.072527,0.0,0.0,0.0,0.0,0.0
/users/panastas/Data/graphs/tamu/matrices/Geo_1438/Geo_1438.mtx,64,1437960,1437960,63156690,0.966716,35.540146,728.256344,0.000000,0.000000,MKL_IE,1437960,1437960,63156690,728.256344,1.000000,6.9794e-06,0.00138674,3.63141e-10,inf,0.189385,0.0,0.0,0.0,0.0,0.0
/users/panastas/Data/graphs/tamu/matrices/Serena/Serena.mtx,64,1391349,1391349,64531701,0.911829,34.961244,743.814289,0.000000,0.000000,MKL_IE,1391349,1391349,64531701,743.814289,1.000000,5.89113e-06,0.00390625,2.99615e-10,0.0661943,0.000576186,0.0,0.0,0.0,0.0,0.0
/users/panastas/Data/graphs/tamu/matrices/vas_stokes_2M/vas_stokes_2M.mtx,64,2146677,2146677,65129037,0.945872,30.572100,753.531605,0.000000,0.000000,MKL_IE,2146677,2146677,65129037,753.531605,1.000000,7.70259e-17,6.78412e-15,2.45122e-32,inf,0.000916695,0.0,0.0,0.0,0.0,0.0
/users/panastas/Data/graphs/tamu/matrices/bone010/bone010.mtx,64,986703,986703,71666325,0.916701,34.711256,823.919979,0.000000,0.000000,MKL_IE,986703,986703,71666325,823.919979,1.000000,1.10664e-12,8.29914e-12,2.26159e-24,2.45906e-07,1.22953e-07,0.0,0.0,0.0,0.0,0.0
/users/panastas/Data/graphs/tamu/matrices/audikw_1/audikw_1.mtx,64,943695,943695,77651847,0.913605,33.828011,892.254780,0.000000,0.000000,MKL_IE,943695,943695,77651847,892.254780,1.000000,3.97144e-10,3.33786e-06,3.69314e-17,1.01994e-08,5.0998e-09,0.0,0.0,0.0,0.0,0.0
