matrix_name,num_threads,csr_m,csr_n,csr_nnz,time,gflops,csr_mem_footprint,W_avg,J_estimated,format_name,m,n,nnz,mem_footprint,mem_ratio,spmv_mae,spmv_max_ae,spmv_mse,spmv_mape,spmv_smape,spmv_lnQ_error,spmv_mlare,spmv_gmare
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,40,10203,321696,46168124,1.001131,22.689067,528.391174,0.000000,0.000000,MKL_IE,10203,321696,46168124,528.391174,1.000000,2.3092e-14,4.26326e-14,6.45596e-28,2.73702e-12,1.36851e-12,-1.16641e-14,-13.5709,2.68576e-14
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,40,952203,952203,46522475,1.002724,20.507063,536.039845,0.000000,0.000000,MKL_IE,952203,952203,46522475,536.039845,1.000000,1.39996e-10,5.96046e-08,4.99829e-19,8.92129e-12,4.46065e-12,-4.45479e-15,-13.989,1.02575e-14
/users/panastas/Data/graphs/tamu/matrices/dielFilterV2real/dielFilterV2real.mtx,40,1157456,1157456,48538952,1.001249,20.457883,559.899570,0.000000,0.000000,MKL_IE,1157456,1157456,48538952,559.899570,1.000000,4.85701e-16,5.55112e-14,1.98347e-30,1.69933e-13,8.49666e-14,8.07612e-18,-16.7294,1.86483e-17
/users/panastas/Data/graphs/tamu/matrices/nv2/nv2.mtx,40,1453908,1453908,52728362,1.001890,18.735882,608.974438,0.000000,0.000000,MKL_IE,1453908,1453908,52728362,608.974438,1.000000,20.4634,67583.9,234896,0.0157319,0.00538891,-5.12879e-05,-3.9278,0.000118088
/users/panastas/Data/graphs/tamu/matrices/af_shell10/af_shell10.mtx,40,1508065,1508065,52672325,1.001274,18.727489,608.539738,0.000000,0.000000,MKL_IE,1508065,1508065,52672325,608.539738,1.000000,2.02023e-11,2.8119e-10,1.06771e-21,0.00388917,0.000282733,2.28001e-06,-5.27985,5.24994e-06
/users/panastas/Data/graphs/tamu/matrices/boneS10/boneS10.mtx,40,914898,914898,55468422,1.000772,18.179612,638.275776,0.000000,0.000000,MKL_IE,914898,914898,55468422,638.275776,1.000000,1.17601e-12,8.29914e-12,2.84073e-24,3.40851e-07,1.70426e-07,3.11853e-10,-9.14383,7.18069e-10
/users/panastas/Data/graphs/tamu/matrices/circuit5M/circuit5M.mtx,40,5558326,5558326,59524291,1.208135,12.613012,702.404785,0.000000,0.000000,MKL_IE,5558326,5558326,59524291,702.404785,1.000000,3.40149e-16,2.33193e-10,5.84735e-26,31.7312,5.41415,0.0420622,-0.992691,0.101697
/users/panastas/Data/graphs/tamu/matrices/Hook_1498/Hook_1498.mtx,40,1498023,1498023,60917445,1.002251,17.626374,702.859341,0.000000,0.000000,MKL_IE,1498023,1498023,60917445,702.859341,1.000000,3.67107e-12,7.4948e-11,2.77669e-23,2.37003,0.072527,0.00011165,-3.58987,0.000257116
/users/panastas/Data/graphs/tamu/matrices/Geo_1438/Geo_1438.mtx,40,1437960,1437960,63156690,1.000404,17.550461,728.256344,0.000000,0.000000,MKL_IE,1437960,1437960,63156690,728.256344,1.000000,6.9794e-06,0.00138674,3.63141e-10,4.60579e+08,0.189385,0.00183833,-2.37244,0.00424189
/users/panastas/Data/graphs/tamu/matrices/Serena/Serena.mtx,40,1391349,1391349,64531701,1.003341,17.494176,743.814289,0.000000,0.000000,MKL_IE,1391349,1391349,64531701,743.814289,1.000000,5.89113e-06,0.00390625,2.99615e-10,0.0661943,0.000576186,2.05998e-06,-5.32392,4.74328e-06
