matrix_name,num_threads,csr_m,csr_n,csr_nnz,time,gflops,csr_mem_footprint,W_avg,J_estimated,format_name,m,n,nnz,mem_footprint,mem_ratio,spmv_mae,spmv_max_ae,spmv_mse,spmv_mape,spmv_smape,spmv_lnQ_error,spmv_mlare,spmv_gmare
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.000421,99.219648,352.273758,0.000000,0.000000,MKL_IE,10203,321696,46168124,352.273758,1.000000,6.19009e-06,1.07884e-05,4.6399e-11,0.000733717,0.00036686,-3.12606e-06,-5.14279,7.198e-06
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.000355,90.500564,358.570686,0.000000,0.000000,MKL_IE,952203,952203,46522475,358.570686,1.000000,0.0690445,22.3444,0.0915495,0.0046748,0.00226192,1.82439e-07,-6.37667,4.20081e-07
/users/panastas/Data/graphs/tamu/matrices/dielFilterV2real/dielFilterV2real.mtx,64,1157456,1157456,48538952,1.000018,84.650405,374.738163,0.000000,0.000000,MKL_IE,1157456,1157456,48538952,374.738163,1.000000,2.39154e-07,1.7495e-05,4.12745e-13,8.38114e-05,4.18869e-05,2.77312e-09,-8.19481,6.38535e-09
/users/panastas/Data/graphs/tamu/matrices/nv2/nv2.mtx,64,1453908,1453908,52728362,1.001568,63.069660,407.831699,0.000000,0.000000,MKL_IE,1453908,1453908,52728362,407.831699,1.000000,1.75229e+10,3.40391e+13,1.09576e+23,1.15946e+10,3.86566,-0.0577587,-0.904726,0.12453
/users/panastas/Data/graphs/tamu/matrices/af_shell10/af_shell10.mtx,64,1508065,1508065,52672325,1.000432,80.553827,407.610764,0.000000,0.000000,MKL_IE,1508065,1508065,52672325,407.610764,1.000000,0.0105234,0.133261,0.000273061,1.79826e+06,7.95121,0.0140373,-1.48346,0.0328502
/users/panastas/Data/graphs/tamu/matrices/boneS10/boneS10.mtx,64,914898,914898,55468422,1.000723,79.040788,426.680538,0.000000,0.000000,MKL_IE,914898,914898,55468422,426.680538,1.000000,0.000745393,0.00456211,1.04873e-06,183.086,71.1867,-1.34273,-0.0201888,0.954578
/users/panastas/Data/graphs/tamu/matrices/circuit5M/circuit5M.mtx,64,5558326,5558326,59524291,1.000227,42.252645,475.337635,0.000000,0.000000,MKL_IE,5558326,5558326,59524291,475.337635,1.000000,5.37984e-08,0.029806,8.44729e-10,8.90482e+09,7.35547,0.587335,0.457374,2.86665
/users/panastas/Data/graphs/tamu/matrices/Hook_1498/Hook_1498.mtx,64,1498023,1498023,60917445,1.000852,70.117157,470.477730,0.000000,0.000000,MKL_IE,1498023,1498023,60917445,470.477730,1.000000,0.00194287,0.0312738,7.34503e-06,2.90811e+09,94.5506,1.63381,1.6236,42.0341
/users/panastas/Data/graphs/tamu/matrices/Geo_1438/Geo_1438.mtx,64,1437960,1437960,63156690,1.001488,65.585385,487.332691,0.000000,0.000000,MKL_IE,1437960,1437960,63156690,487.332691,1.000000,8086.58,1.23566e+06,5.47876e+08,1.95527e+18,90.2892,2.08621,2.08264,120.959
/users/panastas/Data/graphs/tamu/matrices/Serena/Serena.mtx,64,1391349,1391349,64531701,1.001346,68.053851,497.645386,0.000000,0.000000,MKL_IE,1391349,1391349,64531701,497.645386,1.000000,12629.6,5.40942e+06,4.4677e+09,2.94497e+17,48.6212,-0.6009,-0.125326,0.749331
/users/panastas/Data/graphs/tamu/matrices/vas_stokes_2M/vas_stokes_2M.mtx,64,2146677,2146677,65129037,1.001250,58.542950,505.084045,0.000000,0.000000,MKL_IE,2146677,2146677,65129037,505.084045,1.000000,4.96539e-08,2.62968e-06,6.58728e-15,8.72149e+09,40.3975,2.55776,2.55655,360.208
/users/panastas/Data/graphs/tamu/matrices/bone010/bone010.mtx,64,986703,986703,71666325,1.001093,64.142909,550.534645,0.000000,0.000000,MKL_IE,986703,986703,71666325,550.534645,1.000000,0.000995908,0.00456211,1.4622e-06,196.126,81.9618,-0.493844,-0.167965,0.679258
/users/panastas/Data/graphs/tamu/matrices/audikw_1/audikw_1.mtx,64,943695,943695,77651847,1.000939,59.735814,596.036491,0.000000,0.000000,MKL_IE,943695,943695,77651847,596.036491,1.000000,0.204982,1175.97,9.12071,3.20761,0.245896,-0.000485842,-2.95153,0.00111807
/users/panastas/Data/graphs/tamu/matrices/Long_Coup_dt0/Long_Coup_dt0.mtx,64,1470152,1470152,87088992,1.001774,56.855356,670.044468,0.000000,0.000000,MKL_IE,1470152,1470152,87088992,670.044468,1.000000,177487,5.85178e+08,5.60184e+12,2.95169e+13,48.029,0.232201,-0.150659,0.706873
