matrix_name,num_threads,csr_m,csr_n,csr_nnz,time,gflops,csr_mem_footprint,format_name,prefer_fsc,size_cutoff,col_threshold,SpMV Base,SpMV Parallel Base,SpMV MKL Parallel Executor,MKL gflops,SpMV DDT Parallel Executor,SpMV DDT Parallel gflops,MKL Analysis,SPMV Analysis
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,321696,10203,46168124,0.00542064,17.0342,5.55304e+08,LCM,0,4,8,0.0404062,0.00814892,0.0203642,4.53425,0.00542064,17.0342,0.0033346,0.510345
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,0.00682062,13.6417,5.62079e+08,LCM,0,4,8,0.031301,0.0100128,0.0113244,8.21633,0.00682062,13.6417,0.00415027,0.673697
/users/panastas/Data/graphs/tamu/matrices/dielFilterV2real/dielFilterV2real.mtx,64,1157456,1157456,48538952,0.0168327,5.76723,5.87097e+08,LCM,0,4,8,0.0319679,0.0109211,0.01281,7.57829,0.0168327,5.76723,0.00442008,1.38569
/users/panastas/Data/graphs/tamu/matrices/nv2/nv2.mtx,64,1453908,1453908,52728362,0.0191774,5.49901,6.38556e+08,LCM,0,4,8,0.0521,0.0140748,0.0137847,7.65025,0.0191774,5.49901,0.00425123,1.43828
/users/panastas/Data/graphs/tamu/matrices/af_shell10/af_shell10.mtx,64,1508065,1508065,52672325,0.00993821,10.6,6.381e+08,LCM,0,4,8,0.0313682,0.0122504,0.0136112,7.73954,0.00993821,10.6,0.0042058,0.692906
/users/panastas/Data/graphs/tamu/matrices/boneS10/boneS10.mtx,64,914898,914898,55468422,0.0123529,8.98064,6.69281e+08,LCM,0,4,8,0.0362299,0.0128866,0.0141573,7.83603,0.0123529,8.98064,0.00386531,0.983966
/users/panastas/Data/graphs/tamu/matrices/circuit5M/circuit5M.mtx,64,5558326,5558326,59524291,0.065208,1.82568,7.36525e+08,LCM,0,4,8,0.0445923,0.024204,0.020269,5.87342,0.065208,1.82568,0.00612115,1.46537
/users/panastas/Data/graphs/tamu/matrices/Hook_1498/Hook_1498.mtx,64,1498023,1498023,60917445,0.01682,7.24345,7.37001e+08,LCM,0,4,8,0.0410473,0.0145785,0.0162007,7.52034,0.01682,7.24345,0.00405855,1.23523
/users/panastas/Data/graphs/tamu/matrices/Geo_1438/Geo_1438.mtx,64,1437960,1437960,63156690,0.0198272,6.37072,7.63632e+08,LCM,0,4,8,0.0408634,0.0152553,0.0171804,7.35216,0.0198272,6.37072,0.00417648,1.41645
/users/panastas/Data/graphs/tamu/matrices/Serena/Serena.mtx,64,1391349,1391349,64531701,0.0179721,7.18132,7.79946e+08,LCM,0,4,8,0.0435939,0.0159898,0.0175472,7.3552,0.0179721,7.18132,0.0045924,1.32474
/users/panastas/Data/graphs/tamu/matrices/vas_stokes_2M/vas_stokes_2M.mtx,64,2146677,2146677,65129037,0.0227674,5.72124,7.90135e+08,LCM,0,4,8,0.0427317,0.0189272,0.0189925,6.85838,0.0227674,5.72124,0.00414404,1.36078
/users/panastas/Data/graphs/tamu/matrices/bone010/bone010.mtx,64,986703,986703,71666325,0.0170196,8.42162,8.63943e+08,LCM,0,4,8,0.0463371,0.0190463,0.0205688,6.96845,0.0170196,8.42162,0.00377457,1.11364
/users/panastas/Data/graphs/tamu/matrices/audikw_1/audikw_1.mtx,64,943695,943695,77651847,0.0180083,8.62399,9.35597e+08,LCM,0,4,8,0.0550311,0.0199894,0.0219877,7.0632,0.0180083,8.62399,0.00396469,1.19352
/users/panastas/Data/graphs/tamu/matrices/Long_Coup_dt0/Long_Coup_dt0.mtx,64,1470152,1470152,87088992,0.0237221,7.34243,1.05095e+09,LCM,0,4,8,0.0582267,0.0258094,0.0262637,6.63189,0.0237221,7.34243,0.00409216,1.43249
/users/panastas/Data/graphs/tamu/matrices/Long_Coup_dt6/Long_Coup_dt6.mtx,64,1470152,1470152,87088992,0.0222813,7.81722,1.05095e+09,LCM,0,4,8,0.0584649,0.0234521,0.0277013,6.28771,0.0222813,7.81722,0.00408523,1.43502
/users/panastas/Data/graphs/tamu/matrices/dielFilterV3real/dielFilterV3real.mtx,64,1102824,1102824,89306020,0.0328284,5.44078,1.07608e+09,LCM,0,4,8,0.0625812,0.0266835,0.0277432,6.43806,0.0328284,5.44078,0.00331001,2.17702
/users/panastas/Data/graphs/tamu/matrices/nlpkkt120/nlpkkt120.mtx,64,3542400,3542400,96845792,0.0207866,9.31808,1.17632e+09,LCM,0,4,8,0.0550948,0.0335714,0.035809,5.40901,0.0207866,9.31808,0.00477446,0.992617
/users/panastas/Data/graphs/tamu/matrices/cage15/cage15.mtx,64,5154859,5154859,99199551,0.0615515,3.2233,1.21101e+09,LCM,0,4,8,0.0657604,0.036751,0.0366898,5.40747,0.0615515,3.2233,0.00652619,2.65084
/users/panastas/Data/graphs/tamu/matrices/ML_Geer/ML_Geer.mtx,64,1504002,1504002,110879972,0.0294572,7.52822,1.33658e+09,LCM,0,4,8,0.0708032,0.03258,0.0373456,5.93805,0.0294572,7.52822,0.00391144,1.501
