matrix_name,num_threads,csr_m,csr_n,csr_nnz,time,gflops,csr_mem_footprint,W_avg,J_estimated,format_name,m,n,nnz,mem_footprint,mem_ratio,spmv_mae,spmv_max_ae,spmv_mse,spmv_mape,spmv_smape,spmv_lnQ_error,spmv_mlare,spmv_gmare,CSRCV_NUM_PACKET_VALS,matrix_mae,matrix_max_ae,matrix_mse,matrix_mape,matrix_smape,matrix_lnQ_error,matrix_mlare,matrix_gmare,unbalance_time,unbalance_size,row_bits_avg,col_bits_avg,row_col_bytes_avg,compression_spmv_loops,tolerance
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.001384,46.657574,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,220.572826,0.417442,4.48872e-14,9.34808e-14,2.79282e-27,5.12684e-12,2.56342e-12,1.88155e-14,-13.3633,4.33243e-14,64,0,0,0,0,0,0,-inf,0,6.68,5.57,0.0222,15.7262,1.9686,47.6630,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.000981,46.030654,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,199.379580,0.377333,4.50106e-14,9.34808e-14,2.80692e-27,5.14157e-12,2.57079e-12,1.88789e-14,-13.3618,4.34702e-14,128,0,0,0,0,0,0,-inf,0,7.00,5.91,0.0443,15.9949,2.0049,34.8566,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.000411,44.856959,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,188.397000,0.356548,4.52572e-14,9.34808e-14,2.83459e-27,5.17166e-12,2.58583e-12,1.9001e-14,-13.359,4.37514e-14,256,0,0,0,0,0,0,-inf,0,7.23,6.30,0.0918,16.2328,2.0406,28.0750,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.000285,42.739517,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,183.802770,0.347854,4.57643e-14,9.34808e-14,2.8907e-27,5.2334e-12,2.6167e-12,1.92448e-14,-13.3535,4.43128e-14,512,0,0,0,0,0,0,-inf,0,6.83,6.27,0.1771,16.6192,2.0995,26.2932,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.000497,39.684873,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,187.776874,0.355375,4.68141e-14,9.34808e-14,3.00899e-27,5.36058e-12,2.68029e-12,1.9727e-14,-13.3427,4.5423e-14,1024,0,0,0,0,0,0,-inf,0,5.57,5.50,0.3530,17.9195,2.2841,22.7474,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.000702,34.694091,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,206.290036,0.390412,4.8736e-14,9.34808e-14,3.24619e-27,5.58733e-12,2.79367e-12,2.0546e-14,-13.3251,4.73088e-14,2048,0,0,0,0,0,0,-inf,0,4.23,9.86,0.6960,21.3985,2.7618,22.6870,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.003130,28.258789,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,211.082315,0.399481,5.12909e-14,1.00586e-13,3.64359e-27,5.87353e-12,2.93676e-12,2.15422e-14,-13.3045,4.96027e-14,4096,0,0,0,0,0,0,-inf,0,2.93,6.80,1.3261,21.9924,2.9148,19.3353,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.003308,26.137030,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,210.493009,0.398366,5.22394e-14,1.02141e-13,3.79407e-27,5.97381e-12,2.9869e-12,2.18367e-14,-13.2986,5.0281e-14,8192,0,0,0,0,0,0,-inf,0,3.86,6.35,2.2396,21.4726,2.9640,19.0787,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.003317,26.965075,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,208.485744,0.394567,5.26776e-14,1.01807e-13,3.85991e-27,6.01912e-12,3.00956e-12,2.19746e-14,-13.2959,5.05985e-14,16384,0,0,0,0,0,0,-inf,0,4.94,6.03,2.8876,21.0144,2.9877,21.3531,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.003204,27.796499,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,205.147917,0.388250,5.29088e-14,1.01807e-13,3.89368e-27,6.04384e-12,3.02192e-12,2.20432e-14,-13.2945,5.07563e-14,32768,0,0,0,0,0,0,-inf,0,4.88,5.65,3.5162,20.3345,2.9813,23.7956,0
