matrix_name,num_threads,csr_m,csr_n,csr_nnz,time,gflops,csr_mem_footprint,W_avg,J_estimated,format_name,m,n,nnz,mem_footprint,mem_ratio,spmv_mae,spmv_max_ae,spmv_mse,spmv_mape,spmv_smape,spmv_lnQ_error,spmv_mlare,spmv_gmare,CSRCV_NUM_PACKET_VALS,matrix_mae,matrix_max_ae,matrix_mse,matrix_mape,matrix_smape,matrix_lnQ_error,matrix_mlare,matrix_gmare,unbalance_time,unbalance_size,row_bits_avg,col_bits_avg,row_col_bytes_avg,compression_spmv_loops,tolerance
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.001313,57.818938,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,227.786897,0.431095,4.48864e-14,9.34808e-14,2.79271e-27,5.12679e-12,2.56339e-12,1.88149e-14,-13.3633,4.33229e-14,64,0,0,0,0,0,0,-inf,0,13.12,5.51,0.0222,15.7262,1.9686,55.8059,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.000644,73.267809,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,203.114113,0.384401,4.50103e-14,9.34808e-14,2.80693e-27,5.1415e-12,2.57075e-12,1.88791e-14,-13.3618,4.34707e-14,128,0,0,0,0,0,0,-inf,0,6.27,5.87,0.0443,15.9949,2.0049,53.8241,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.001053,80.340307,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,190.331721,0.360210,4.52573e-14,9.34808e-14,2.83462e-27,5.17169e-12,2.58585e-12,1.90006e-14,-13.359,4.37505e-14,256,0,0,0,0,0,0,-inf,0,3.26,6.25,0.0918,16.2328,2.0406,49.0940,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.000039,78.298063,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,184.797497,0.349736,4.57652e-14,9.34808e-14,2.89089e-27,5.23349e-12,2.61674e-12,1.92442e-14,-13.3535,4.43115e-14,512,0,0,0,0,0,0,-inf,0,2.82,6.23,0.1771,16.6192,2.0995,44.8879,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.000625,69.024382,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,188.287300,0.356341,4.68131e-14,9.34808e-14,3.00896e-27,5.36044e-12,2.68022e-12,1.97264e-14,-13.3427,4.54217e-14,1024,0,0,0,0,0,0,-inf,0,2.48,5.49,0.3530,17.9195,2.2841,41.6755,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.000937,52.951394,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,206.550525,0.390905,4.87353e-14,9.34808e-14,3.24596e-27,5.5874e-12,2.7937e-12,2.05452e-14,-13.3251,4.7307e-14,2048,0,0,0,0,0,0,-inf,0,2.57,9.85,0.6960,21.3985,2.7618,33.4424,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.001774,36.131721,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,211.216063,0.399734,5.12907e-14,1.00586e-13,3.64341e-27,5.87365e-12,2.93683e-12,2.15419e-14,-13.3045,4.9602e-14,4096,0,0,0,0,0,0,-inf,0,7.65,6.80,1.3261,21.9924,2.9148,23.7254,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.002574,33.247805,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,210.564253,0.398501,5.22413e-14,1.02807e-13,3.79424e-27,5.97416e-12,2.98708e-12,2.18367e-14,-13.2986,5.02807e-14,8192,0,0,0,0,0,0,-inf,0,7.41,6.34,2.2396,21.4726,2.9640,23.2369,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.001594,33.925671,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,208.526511,0.394644,5.26782e-14,1.01807e-13,3.85987e-27,6.01934e-12,3.00967e-12,2.1974e-14,-13.2959,5.05971e-14,16384,0,0,0,0,0,0,-inf,0,10.52,6.03,2.8876,21.0144,2.9877,26.3015,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.001772,33.919646,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,205.173106,0.388298,5.2908e-14,1.01807e-13,3.89346e-27,6.04392e-12,3.02196e-12,2.20419e-14,-13.2945,5.07533e-14,32768,0,0,0,0,0,0,-inf,0,13.07,5.65,3.5162,20.3345,2.9813,29.2174,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.002187,33.813450,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,200.689414,0.379812,5.30327e-14,1.01363e-13,3.91365e-27,6.05653e-12,3.02826e-12,2.2084e-14,-13.2937,5.08503e-14,65536,0,0,0,0,0,0,-inf,0,14.09,6.00,4.0525,19.6568,2.9637,36.6283,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.000061,33.792990,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,208.303856,0.394223,5.31122e-14,1.01363e-13,3.92455e-27,6.06553e-12,3.03276e-12,2.21087e-14,-13.2932,5.09071e-14,131072,0,0,0,0,0,0,-inf,0,14.07,8.16,5.6927,20.3490,3.2552,48.5664,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.001516,33.467331,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,230.790641,0.436780,5.3141e-14,1.01363e-13,3.92913e-27,6.0684e-12,3.0342e-12,2.21169e-14,-13.2931,5.09261e-14,262144,0,0,0,0,0,0,-inf,0,14.53,6.02,7.9062,23.7188,3.9531,62.1127,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.001653,33.094003,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,226.096547,0.427896,5.31461e-14,1.00586e-13,3.92993e-27,6.06894e-12,3.03447e-12,2.21174e-14,-13.2931,5.09271e-14,524288,0,0,0,0,0,0,-inf,0,17.26,5.78,7.9062,23.7188,3.9531,78.5528,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.000170,32.312199,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,220.214713,0.416765,5.31609e-14,9.58122e-14,3.93178e-27,6.07059e-12,3.03529e-12,2.21234e-14,-13.2929,5.09409e-14,1048576,0,0,0,0,0,0,-inf,0,15.18,5.81,8.0000,24.0000,4.0000,93.4880,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.000529,32.116032,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,220.214713,0.416765,5.31609e-14,9.58122e-14,3.93178e-27,6.07059e-12,3.03529e-12,2.21234e-14,-13.2929,5.09409e-14,2097152,0,0,0,0,0,0,-inf,0,15.45,5.81,8.0000,24.0000,4.0000,108.3680,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.001223,32.185997,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,220.214713,0.416765,5.31609e-14,9.58122e-14,3.93178e-27,6.07059e-12,3.03529e-12,2.21234e-14,-13.2929,5.09409e-14,4194304,0,0,0,0,0,0,-inf,0,15.61,5.81,8.0000,24.0000,4.0000,131.6104,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.001107,32.005250,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,220.214713,0.416765,5.31609e-14,9.58122e-14,3.93178e-27,6.07059e-12,3.03529e-12,2.21234e-14,-13.2929,5.09409e-14,8388608,0,0,0,0,0,0,-inf,0,15.60,5.81,8.0000,24.0000,4.0000,177.2624,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.000089,32.037841,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,220.214713,0.416765,5.31609e-14,9.58122e-14,3.93178e-27,6.07059e-12,3.03529e-12,2.21234e-14,-13.2929,5.09409e-14,16777216,0,0,0,0,0,0,-inf,0,15.44,5.81,8.0000,24.0000,4.0000,272.0827,0
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.002460,34.991856,536.039845,0.000000,0.000000,CSR_CV_STREAM,952203,952203,46522475,479.481019,0.894488,1.75616e-10,5.96046e-08,7.18584e-19,1.13135e-11,5.65677e-12,2.17194e-16,-15.3009,5.00142e-16,64,0,0,0,0,0,0,-inf,0,7.65,2.85,2.2021,20.3925,2.8243,46.4311,0
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.000284,41.579270,536.039845,0.000000,0.000000,CSR_CV_STREAM,952203,952203,46522475,452.061470,0.843336,1.7129e-10,6.70552e-08,6.65549e-19,1.16176e-11,5.80881e-12,9.24179e-16,-14.672,2.12796e-15,128,0,0,0,0,0,0,-inf,0,8.12,2.93,3.1936,19.9485,2.8928,47.3508,0
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.001214,40.611349,536.039845,0.000000,0.000000,CSR_CV_STREAM,952203,952203,46522475,429.203998,0.800694,1.68438e-10,7.45058e-08,6.11595e-19,1.17327e-11,5.86634e-12,4.61119e-16,-14.974,1.06176e-15,256,0,0,0,0,0,0,-inf,0,7.49,3.22,3.9083,19.5778,2.9358,40.8144,0
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.001711,44.956849,536.039845,0.000000,0.000000,CSR_CV_STREAM,952203,952203,46522475,409.814160,0.764522,1.66223e-10,7.45058e-08,6.42057e-19,1.09982e-11,5.4991e-12,-3.47051e-15,-14.0974,7.99117e-15,512,0,0,0,0,0,0,-inf,0,5.76,3.49,4.5673,19.1449,2.9640,44.2875,0
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.000912,50.663317,536.039845,0.000000,0.000000,CSR_CV_STREAM,952203,952203,46522475,406.228206,0.757832,1.67687e-10,7.45058e-08,6.81385e-19,1.04773e-11,5.23866e-12,-6.60038e-15,-13.8182,1.5198e-14,1024,0,0,0,0,0,0,-inf,0,8.55,5.67,6.0618,19.8458,3.2384,51.5742,0
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.000123,53.587306,536.039845,0.000000,0.000000,CSR_CV_STREAM,952203,952203,46522475,412.111073,0.768807,1.68876e-10,7.45058e-08,7.36428e-19,1.01518e-11,5.07592e-12,-2.9886e-15,-14.1623,6.88149e-15,2048,0,0,0,0,0,0,-inf,0,16.93,7.40,7.3684,21.5619,3.6163,58.3192,0
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.000593,61.466252,536.039845,0.000000,0.000000,CSR_CV_STREAM,952203,952203,46522475,418.160542,0.780092,1.70198e-10,5.96046e-08,7.41541e-19,9.79985e-12,4.89992e-12,-4.44556e-15,-13.9899,1.02363e-14,4096,0,0,0,0,0,0,-inf,0,8.21,5.06,7.9623,23.4084,3.9213,71.5868,0
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.000536,61.748773,536.039845,0.000000,0.000000,CSR_CV_STREAM,952203,952203,46522475,414.790279,0.773805,1.6918e-10,7.45058e-08,7.35732e-19,1.10134e-11,5.50668e-12,-1.49685e-14,-13.4626,3.44663e-14,8192,0,0,0,0,0,0,-inf,0,9.18,4.83,7.9998,23.7698,3.9712,76.2616,0
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.000606,63.883156,536.039845,0.000000,0.000000,CSR_CV_STREAM,952203,952203,46522475,412.064818,0.768721,1.69826e-10,7.45058e-08,7.37375e-19,1.15894e-11,5.79471e-12,-1.29948e-14,-13.524,2.99215e-14,16384,0,0,0,0,0,0,-inf,0,4.99,4.84,7.9934,23.8006,3.9742,85.9560,0
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.000653,62.206457,536.039845,0.000000,0.000000,CSR_CV_STREAM,952203,952203,46522475,412.064818,0.768721,1.69826e-10,7.45058e-08,7.37375e-19,1.15894e-11,5.79471e-12,-1.29948e-14,-13.524,2.99215e-14,32768,0,0,0,0,0,0,-inf,0,6.42,4.84,7.9934,23.8006,3.9742,83.7305,0
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.001012,58.466079,536.039845,0.000000,0.000000,CSR_CV_STREAM,952203,952203,46522475,412.064818,0.768721,1.69826e-10,7.45058e-08,7.37375e-19,1.15894e-11,5.79471e-12,-1.29948e-14,-13.524,2.99215e-14,65536,0,0,0,0,0,0,-inf,0,14.96,4.84,7.9934,23.8006,3.9742,80.8840,0
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.000711,59.971361,536.039845,0.000000,0.000000,CSR_CV_STREAM,952203,952203,46522475,412.064818,0.768721,1.69826e-10,7.45058e-08,7.37375e-19,1.15894e-11,5.79471e-12,-1.29948e-14,-13.524,2.99215e-14,131072,0,0,0,0,0,0,-inf,0,12.20,4.84,7.9934,23.8006,3.9742,84.8337,0
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.001273,60.866964,536.039845,0.000000,0.000000,CSR_CV_STREAM,952203,952203,46522475,412.064818,0.768721,1.69826e-10,7.45058e-08,7.37375e-19,1.15894e-11,5.79471e-12,-1.29948e-14,-13.524,2.99215e-14,262144,0,0,0,0,0,0,-inf,0,10.52,4.84,7.9934,23.8006,3.9742,88.6571,0
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.001227,60.405075,536.039845,0.000000,0.000000,CSR_CV_STREAM,952203,952203,46522475,412.064818,0.768721,1.69826e-10,7.45058e-08,7.37375e-19,1.15894e-11,5.79471e-12,-1.29948e-14,-13.524,2.99215e-14,524288,0,0,0,0,0,0,-inf,0,11.66,4.84,7.9934,23.8006,3.9742,104.1751,0
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.000131,62.704111,536.039845,0.000000,0.000000,CSR_CV_STREAM,952203,952203,46522475,412.064818,0.768721,1.69826e-10,7.45058e-08,7.37375e-19,1.15894e-11,5.79471e-12,-1.29948e-14,-13.524,2.99215e-14,1048576,0,0,0,0,0,0,-inf,0,7.18,4.84,7.9934,23.8006,3.9742,133.7984,0
