matrix,mem_footprint,csr_mem_footprint,compression_ratio
spal_004,240.874468,528.391174,0.455864
ldoor,420.32475,536.039845,0.78413
dielFilterV2real,491.77146,559.89957,0.878321
af_shell10,414.252256,608.539738,0.680732
nv2,428.153537,608.974438,0.703073
boneS10,212.984193,638.275776,0.333687
circuit5M,314.330976,702.404785,0.447507
Hook_1498,431.186882,702.859341,0.613475
Geo_1438,462.534705,728.256344,0.635126
Serena,491.143406,743.814289,0.660304
vas_stokes_2M,415.798345,753.531605,0.551799
bone010,274.985479,823.919979,0.333753
audikw_1,651.625595,892.25478,0.730313
Long_Coup_dt0,612.395664,1002.262608,0.611013
Long_Coup_dt6,613.908869,1002.262608,0.612523
dielFilterV3real,910.79281,1026.233234,0.887511
nlpkkt120,464.078259,1121.825321,0.413681
cage15,480.486862,1154.912998,0.416037
ML_Geer,893.000404,1274.657894,0.70058
Flan_1565,529.35609,1349.574764,0.392239
Cube_Coup_dt0,685.467156,1464.016697,0.46821
Cube_Coup_dt6,691.248268,1464.016697,0.472159
Bump_2911,863.741854,1472.858875,0.586439
vas_stokes_4M,869.577411,1522.503262,0.57115
nlpkkt160,1099.317433,2658.462284,0.413516
HV15R,2833.181491,3247.213531,0.872496
Queen_4147,2408.419473,3786.640026,0.636031
stokes,2428.59264,4041.349312,0.600936
nlpkkt200,2146.266891,5191.485966,0.413421
